,0
0,0.92799
1,0.85344
2,0.992648
3,0.860174
4,0.966354
5,0.862444
6,0.861142
7,0.85953
8,0.858812
9,0.863258
10,0.855352
11,0.857588
12,0.857246
13,0.967504
14,0.860212
15,0.995084
16,0.968794
17,0.995876
18,0.928708
19,0.968542
20,0.854776
21,0.858424
22,0.854886
23,0.926186
24,0.85453
25,0.857386
26,0.927358
27,0.927848
28,0.857824
29,0.862236
30,0.858554
31,0.996946
32,0.85632
33,0.926722
34,0.937584
35,0.928566
36,0.85389
37,0.853738
38,0.853636
39,0.856906
40,0.969176
41,0.859284
42,0.853348
43,0.857102
44,0.997518
45,0.858286
46,0.970278
47,0.85955
48,0.997182
49,0.98563
50,0.956284
51,0.85804
52,0.858988
53,0.867736
54,0.859292
55,0.860964
56,0.85266
57,0.860224
58,0.997576
59,0.857228
60,0.968652
61,0.857606
62,0.85344
63,0.85556
64,0.861502
65,0.86071
66,0.860262
67,0.855846
68,0.858194
69,0.858534
70,0.926294
71,0.859734
72,0.854872
73,0.853374
74,0.929254
75,0.85884
76,0.85743
77,0.996652
78,0.928074
79,0.858912
80,0.851286
81,0.860602
82,0.85336
83,0.85533
84,0.862206
85,0.995406
86,0.96853
87,0.991458
88,0.856558
89,0.99442
90,0.85792
91,0.980134
92,0.984498
93,0.968526
94,0.994762
95,0.864494
96,0.930564
97,0.931504
98,0.9729
99,0.926288
100,0.860278
101,0.85471
102,0.862724
103,0.864134
104,0.85449
105,0.85669
106,0.992908
107,0.855882
108,0.864436
109,0.85416
110,0.856166
111,0.858448
112,0.85369
113,0.927394
114,0.854018
115,0.861792
116,0.856574
117,0.854238
118,0.85735
119,0.969076
120,0.860682
121,0.853262
122,0.871326
123,0.85312
124,0.9926
125,0.86096
126,0.963596
127,0.864496
128,0.996068
129,0.855152
130,0.857516
131,0.859252
132,0.852864
133,0.859164
134,0.92688
135,0.997174
136,0.859248
137,0.853772
138,0.928072
139,0.977596
140,0.855432
141,0.996272
142,0.858216
143,0.930888
144,0.9772
145,0.857192
146,0.968692
147,0.855098
148,0.924678
149,0.855164
150,0.9573
151,0.928608
152,0.85808
153,0.861544
154,0.968982
155,0.997318
156,0.99363
157,0.857662
158,0.857602
159,0.968996
160,0.990504
161,0.996494
162,0.859132
163,0.972234
164,0.856654
165,0.856276
166,0.852744
167,0.858636
168,0.968362
169,0.856786
170,0.993674
171,0.855618
172,0.855572
173,0.927178
174,0.993248
175,0.99285
176,0.92719
177,0.93296
178,0.928384
179,0.866802
180,0.854478
181,0.86089
182,0.968768
183,0.853774
184,0.855538
185,0.857002
186,0.855798
187,0.854334
188,0.858418
189,0.854124
190,0.863466
191,0.968186
192,0.855368
193,0.856894
194,0.927302
195,0.854054
196,0.858108
197,0.857632
198,0.853108
199,0.858124
200,0.854666
201,0.926752
202,0.928362
203,0.857436
204,0.857148
205,0.854786
206,0.997776
207,0.862338
208,0.868178
209,0.855504
210,0.928778
211,0.85612
212,0.997344
213,0.852768
214,0.85651
215,0.992862
216,0.855462
217,0.86482
218,0.861706
219,0.856242
220,0.929264
221,0.853568
222,0.968424
223,0.98786
224,0.856138
225,0.99761
226,0.967908
227,0.856374
228,0.993838
229,0.864426
230,0.925878
231,0.855268
232,0.85345
233,0.856794
234,0.860674
235,0.8572
236,0.979762
237,0.857776
238,0.96873
239,0.92932
240,0.997596
241,0.925652
242,0.928024
243,0.86219
244,0.968008
245,0.994776
246,0.99251
247,0.981686
248,0.97296
249,0.854794
250,0.993034
251,0.856272
252,0.927548
253,0.8606
254,0.855146
255,0.85312
256,0.858176
257,0.935256
258,0.853854
259,0.99116
260,0.993948
261,0.926084
262,0.852386
263,0.854536
264,0.853542
265,0.969164
266,0.992996
267,0.857846
268,0.857718
269,0.853416
270,0.859916
271,0.85809
272,0.927102
273,0.855678
274,0.855016
275,0.971292
276,0.855688
277,0.926888
278,0.997718
279,0.86022
280,0.967836
281,0.862526
282,0.925712
283,0.991682
284,0.85546
285,0.858638
286,0.855896
287,0.927162
288,0.926486
289,0.856196
290,0.937496
291,0.861564
292,0.867212
293,0.967998
294,0.925888
295,0.969094
296,0.99726
297,0.993502
298,0.960782
299,0.854498
300,0.855504
301,0.859576
302,0.995736
303,0.932074
304,0.853444
305,0.969108
306,0.99332
307,0.85301
308,0.853638
309,0.857756
310,0.854226
311,0.85616
312,0.858018
313,0.851712
314,0.857144
315,0.856292
316,0.969536
317,0.927628
318,0.8561
319,0.927694
320,0.855786
321,0.852708
322,0.972966
323,0.96855
324,0.854086
325,0.992236
326,0.862168
327,0.85233
328,0.96842
329,0.968088
330,0.853874
331,0.85658
332,0.85495
333,0.85569
334,0.929668
335,0.853986
336,0.968972
337,0.854726
338,0.855304
339,0.860864
340,0.976062
341,0.853272
342,0.927432
343,0.857922
344,0.929352
345,0.855192
346,0.853836
347,0.854128
348,0.856188
349,0.993214
350,0.967694
351,0.853722
352,0.860804
353,0.972066
354,0.926618
355,0.854504
356,0.85772
357,0.969116
358,0.853022
359,0.925948
360,0.856856
361,0.859236
362,0.852694
363,0.857442
364,0.968796
365,0.925312
366,0.990506
367,0.862282
368,0.857404
369,0.85624
370,0.854422
371,0.856362
372,0.971912
373,0.85416
374,0.853996
375,0.854686
376,0.862812
377,0.968044
378,0.858954
379,0.926702
380,0.97088
381,0.92884
382,0.854518
383,0.99069
384,0.864662
385,0.861762
386,0.856082
387,0.86055
388,0.859112
389,0.856268
390,0.92845
391,0.853746
392,0.855522
393,0.858446
394,0.856318
395,0.858766
396,0.860322
397,0.855362
398,0.957524
399,0.852382
400,0.855548
401,0.99703
402,0.856152
403,0.854008
404,0.861552
405,0.992552
406,0.85836
407,0.97299
408,0.859134
409,0.853172
410,0.8557
411,0.97199
412,0.997718
413,0.972982
414,0.968728
415,0.859726
416,0.855666
417,0.995596
418,0.856456
419,0.858124
420,0.854388
421,0.997642
422,0.997282
423,0.926004
424,0.854998
425,0.854104
426,0.996756
427,0.859212
428,0.98917
429,0.85727
430,0.854924
431,0.859712
432,0.854018
433,0.926644
434,0.85403
435,0.861382
436,0.925488
437,0.855586
438,0.852408
439,0.85626
440,0.86341
441,0.92743
442,0.996844
443,0.993018
444,0.853398
445,0.925268
446,0.997036
447,0.85586
448,0.856642
449,0.925288
450,0.997272
451,0.85497
452,0.864306
453,0.85998
454,0.857506
455,0.856834
456,0.862476
457,0.988008
458,0.85401
459,0.996634
460,0.85433
461,0.854876
462,0.858112
463,0.8534
464,0.854328
465,0.85573
466,0.858042
467,0.861096
468,0.972892
469,0.96678
470,0.925326
471,0.854568
472,0.992358
473,0.854788
474,0.854954
475,0.85647
476,0.853934
477,0.855764
478,0.854578
479,0.856842
480,0.997082
481,0.994466
482,0.856692
483,0.99739
484,0.966246
485,0.856578
486,0.92687
487,0.857956
488,0.927136
489,0.856836
490,0.855174
491,0.931414
492,0.857412
493,0.968978
494,0.969438
495,0.996902
496,0.854486
497,0.854186
498,0.85635
499,0.8565
500,0.861118
501,0.853544
502,0.99231
503,0.925988
504,0.858076
505,0.969212
506,0.854894
507,0.843408
508,0.926474
509,0.926566
510,0.856664
511,0.856172
512,0.858608
513,0.997388
514,0.855108
515,0.856848
516,0.861744
517,0.85684
518,0.860268
519,0.854524
520,0.955636
521,0.854766
522,0.84712
523,0.854918
524,0.853924
525,0.925078
526,0.859932
527,0.853842
528,0.856804
529,0.96967
530,0.859128
531,0.997268
532,0.9934
533,0.853168
534,0.855034
535,0.96922
536,0.857572
537,0.860432
538,0.855336
539,0.997384
540,0.858642
541,0.935062
542,0.991662
543,0.854706
544,0.85834
545,0.85779
546,0.935896
547,0.859138
548,0.859028
549,0.855714
550,0.854612
551,0.856978
552,0.858808
553,0.9767
554,0.857366
555,0.863602
556,0.997894
557,0.85855
558,0.857614
559,0.856424
560,0.854758
561,0.99783
562,0.852664
563,0.992058
564,0.927154
565,0.852822
566,0.85657
567,0.854978
568,0.991846
569,0.859966
570,0.927018
571,0.86388
572,0.863284
573,0.866516
574,0.85683
575,0.85486
576,0.855424
577,0.980218
578,0.85741
579,0.854506
580,0.997734
581,0.925776
582,0.968236
583,0.85855
584,0.854626
585,0.995674
586,0.860478
587,0.926464
588,0.853696
589,0.8599
590,0.96968
591,0.854006
592,0.859068
593,0.86576
594,0.855982
595,0.952818
596,0.997274
597,0.930546
598,0.99721
599,0.858378
600,0.855476
601,0.96966
602,0.854468
603,0.855642
604,0.851896
605,0.856216
606,0.99764
607,0.859032
608,0.857428
609,0.855752
610,0.857832
611,0.988588
612,0.855708
613,0.858754
614,0.996192
615,0.996918
616,0.854588
617,0.856328
618,0.858422
619,0.85572
620,0.860246
621,0.932066
622,0.927024
623,0.854644
624,0.855782
625,0.863812
626,0.854842
627,0.856012
628,0.855752
629,0.996972
630,0.996744
631,0.862994
632,0.966008
633,0.992158
634,0.963174
635,0.86276
636,0.857138
637,0.863882
638,0.927802
639,0.856814
640,0.991542
641,0.972458
642,0.8553
643,0.856652
644,0.929764
645,0.854692
646,0.86159
647,0.865784
648,0.853998
649,0.858004
650,0.854362
651,0.928236
652,0.857782
653,0.99723
654,0.856338
655,0.992666
656,0.997468
657,0.857568
658,0.997152
659,0.856746
660,0.863712
661,0.925658
662,0.853974
663,0.860086
664,0.85815
665,0.8547
666,0.855576
667,0.856458
668,0.990032
