,N/L,Flow,Pat,R_a
0,1.8,0.898054,1,3
1,1.81,0.902332,1,3
2,1.82,0.907556,1,3
3,1.83,0.912918,1,3
4,1.84,0.917846,1,3
5,1.85,0.92232,1,3
6,1.86,0.927784,1,3
7,1.87,0.932118,1,3
8,1.88,0.93756,1,3
9,1.89,0.940916,1,3
10,1.9,0.94634,1,3
11,1.91,0.952072,1,3
12,1.92,0.957276,1,3
13,1.93,0.960964,1,3
14,1.94,0.966764,1,3
15,1.95,0.971028,1,3
16,1.96,0.97667,1,3
17,1.97,0.843402,1,3
18,1.98,0.842088,1,3
19,1.99,0.988982,1,3
20,2.0,0.994324,1,3
21,2.01,0.994758,1,3
22,2.02,0.848582,1,3
23,2.03,0.911528,1,3
24,2.04,0.996282,1,3
25,2.05,0.914298,1,3
26,2.06,0.854418,1,3
27,2.07,0.993066,1,3
28,2.08,0.856002,1,3
29,2.09,0.858828,1,3
30,2.1,0.856788,1,3
31,2.11,0.932398,1,3
32,2.12,0.93166,1,3
33,2.13,0.865758,1,3
34,2.14,0.861066,1,3
35,2.15,0.979526,1,3
36,2.16,0.86499,1,3
37,2.17,0.86801,1,3
38,2.18,0.867436,1,3
39,2.19,0.87017,1,3
40,2.2,0.983842,1,3
41,2.21,0.87273,1,3
42,2.22,0.871552,1,3
43,2.23,0.87222,1,3
44,2.24,0.876584,1,3
45,2.25,0.877846,1,3
46,2.26,0.880174,1,3
47,2.27,0.87894,1,3
48,2.28,0.878888,1,3
49,2.29,0.880984,1,3
50,2.3,0.88199,1,3
51,1.8,0.897536,1,3
52,1.81,0.902444,1,3
53,1.82,0.907966,1,3
54,1.83,0.912862,1,3
55,1.84,0.91819,1,3
56,1.85,0.922174,1,3
57,1.86,0.927374,1,3
58,1.87,0.932766,1,3
59,1.88,0.937568,1,3
60,1.89,0.942186,1,3
61,1.9,0.82807,1,3
62,1.91,0.951314,1,3
63,1.92,0.957576,1,3
64,1.93,0.96215,1,3
65,1.94,0.966198,1,3
66,1.95,0.838752,1,3
67,1.96,0.97699,1,3
68,1.97,0.980582,1,3
69,1.98,0.843752,1,3
70,1.99,0.848302,1,3
71,2.0,0.846096,1,3
72,2.01,0.922846,1,3
73,2.02,0.98778,1,3
74,2.03,0.99467,1,3
75,2.04,0.994402,1,3
76,2.05,0.995902,1,3
77,2.06,0.855004,1,3
78,2.07,0.85502,1,3
79,2.08,0.85312,1,3
80,2.09,0.851852,1,3
81,2.1,0.96934,1,3
82,2.11,0.85958,1,3
83,2.12,0.864426,1,3
84,2.13,0.858596,1,3
85,2.14,0.97575,1,3
86,2.15,0.86446,1,3
87,2.16,0.868502,1,3
88,2.17,0.98022,1,3
89,2.18,0.981104,1,3
