,N/L,Flow,Pat,R_a
0,1.8,0.897802,1,5
1,1.81,0.776406,1,5
2,1.82,0.780288,1,5
3,1.83,0.913034,1,5
4,1.84,0.791782,1,5
5,1.85,0.922216,1,5
6,1.86,0.782936,1,5
7,1.87,0.810288,1,5
8,1.88,0.937766,1,5
9,1.89,0.94124,1,5
10,1.9,0.947292,1,5
11,1.91,0.952678,1,5
12,1.92,0.946282,1,5
13,1.93,0.803634,1,5
14,1.94,0.80104,1,5
15,1.95,0.802202,1,5
16,1.96,0.897262,1,5
17,1.97,0.919686,1,5
18,1.98,0.806462,1,5
19,1.99,0.812988,1,5
20,2.0,0.837044,1,5
21,2.01,0.815604,1,5
22,2.02,0.816524,1,5
23,2.03,0.810374,1,5
24,2.04,0.8488,1,5
25,2.05,0.821402,1,5
26,2.06,0.854986,1,5
27,2.07,0.824696,1,5
28,2.08,0.858058,1,5
29,2.09,0.82369,1,5
30,2.1,0.836426,1,5
31,2.11,0.822944,1,5
32,2.12,0.8284,1,5
33,2.13,0.830864,1,5
34,2.14,0.828792,1,5
35,2.15,0.984984,1,5
36,2.16,0.842976,1,5
37,2.17,0.844312,1,5
38,2.18,0.838788,1,5
39,2.19,0.888554,1,5
40,2.2,0.835972,1,5
41,2.21,0.84701,1,5
42,2.22,0.843704,1,5
43,2.23,0.845154,1,5
44,2.24,0.967754,1,5
45,2.25,0.846958,1,5
46,2.26,0.85249,1,5
47,2.27,0.859264,1,5
48,2.28,0.850846,1,5
49,2.29,0.852752,1,5
50,2.3,0.919928,1,5
51,1.8,0.897938,1,5
52,1.81,0.901402,1,5
53,1.82,0.908238,1,5
54,1.83,0.799958,1,5
55,1.84,0.918058,1,5
56,1.85,0.794824,1,5
57,1.86,0.784596,1,5
58,1.87,0.917986,1,5
59,1.88,0.791698,1,5
60,1.89,0.9418,1,5
61,1.9,0.946602,1,5
62,1.91,0.905142,1,5
63,1.92,0.946284,1,5
64,1.93,0.950012,1,5
65,1.94,0.818554,1,5
66,1.95,0.966892,1,5
67,1.96,0.824612,1,5
68,1.97,0.810036,1,5
69,1.98,0.920594,1,5
70,1.99,0.811696,1,5
71,2.0,0.813814,1,5
72,2.01,0.933684,1,5
73,2.02,0.97746,1,5
74,2.03,0.822734,1,5
75,2.04,0.814472,1,5
76,2.05,0.826642,1,5
77,2.06,0.9354,1,5
78,2.07,0.93549,1,5
79,2.08,0.830814,1,5
80,2.09,0.941578,1,5
81,2.1,0.820464,1,5
82,2.11,0.838202,1,5
83,2.12,0.831928,1,5
84,2.13,0.831098,1,5
85,2.14,0.875006,1,5
86,2.15,0.827074,1,5
87,2.16,0.847844,1,5
88,2.17,0.838936,1,5
89,2.18,0.845324,1,5
90,2.19,0.846638,1,5
