,N,Speed,Max,Pat,R_A
0,0,100,0.0,1,3
1,5,100,0.024998,1,3
2,10,100,0.050002,1,3
3,15,100,0.074974,1,3
4,20,100,0.099978,1,3
5,25,100,0.124972,1,3
6,30,100,0.149936,1,3
7,35,100,0.174936,1,3
8,40,100,0.199928,1,3
9,45,100,0.22493,1,3
10,50,100,0.24988,1,3
11,55,100,0.274898,1,3
12,60,100,0.299852,1,3
13,65,100,0.324826,1,3
14,70,100,0.349786,1,3
15,75,100,0.37483,1,3
16,80,100,0.399778,1,3
17,85,100,0.42472,1,3
18,90,100,0.449734,1,3
19,95,100,0.474664,1,3
20,100,100,0.499588,1,3
21,105,100,0.524598,1,3
22,110,100,0.549436,1,3
23,115,100,0.5744,1,3
24,120,100,0.599262,1,3
25,125,100,0.624336,1,3
26,130,100,0.64927,1,3
27,135,100,0.67416,1,3
28,140,100,0.699246,1,3
29,145,100,0.724152,1,3
30,150,100,0.74899,1,3
31,155,100,0.773586,1,3
32,160,100,0.798606,1,3
33,165,100,0.823646,1,3
34,170,100,0.848296,1,3
35,175,100,0.873028,1,3
36,180,100,0.897744,1,3
37,185,100,0.922786,1,3
38,190,100,0.947318,1,3
39,195,100,0.970896,1,3
40,200,100,0.844212,1,3
41,205,100,0.849512,1,3
42,210,100,0.926122,1,3
43,215,100,0.86222,1,3
44,220,100,0.873198,1,3
45,225,100,0.876086,1,3
46,230,100,0.882296,1,3
47,235,100,0.889994,1,3
48,240,100,0.897478,1,3
49,245,100,0.900254,1,3
50,250,100,0.907758,1,3
51,255,100,0.914332,1,3
52,260,100,0.919544,1,3
53,265,100,0.92793,1,3
54,270,100,0.933228,1,3
55,275,100,0.938456,1,3
56,280,100,0.945892,1,3
57,285,100,0.953858,1,3
58,290,100,0.958326,1,3
59,295,100,0.962388,1,3
60,300,100,0.970872,1,3
61,305,100,0.97414,1,3
62,310,100,0.982514,1,3
63,315,100,0.98723,1,3
64,320,100,0.99316,1,3
65,325,100,0.99633,1,3
66,330,100,0.999876,1,3
67,335,100,1.000084,1,3
68,340,100,0.999526,1,3
69,345,100,1.000128,1,3
70,350,100,1.000924,1,3
71,355,100,1.000898,1,3
72,360,100,1.000588,1,3
73,365,100,1.001018,1,3
74,370,100,1.001068,1,3
75,375,100,1.001032,1,3
76,380,100,1.001206,1,3
77,385,100,1.001272,1,3
78,390,100,1.001264,1,3
79,395,100,1.001114,1,3
80,400,100,1.001474,1,3
81,405,100,1.001554,1,3
82,410,100,1.001682,1,3
83,415,100,1.00164,1,3
84,420,100,1.001718,1,3
85,425,100,1.001944,1,3
86,430,100,1.001706,1,3
87,435,100,1.001746,1,3
88,440,100,1.001988,1,3
89,445,100,1.001782,1,3
90,450,100,1.002138,1,3
91,455,100,1.0021,1,3
92,460,100,1.002068,1,3
93,465,100,1.002086,1,3
94,470,100,1.002508,1,3
95,475,100,1.002244,1,3
96,480,100,1.002234,1,3
97,485,100,1.002322,1,3
98,490,100,1.002378,1,3
99,495,100,1.002288,1,3
100,500,100,1.002504,1,3
101,505,100,1.002634,1,3
102,510,100,1.002346,1,3
103,515,100,1.002318,1,3
104,520,100,1.002596,1,3
105,525,100,1.002638,1,3
106,530,100,1.002634,1,3
107,535,100,1.002678,1,3
108,540,100,1.002876,1,3
109,545,100,1.002802,1,3
110,550,100,1.002948,1,3
111,555,100,1.00297,1,3
112,560,100,1.003052,1,3
113,565,100,1.002928,1,3
114,570,100,1.003256,1,3
115,575,100,1.003092,1,3
116,580,100,1.003148,1,3
117,585,100,1.00327,1,3
118,590,100,1.003284,1,3
119,595,100,1.003422,1,3
120,600,100,1.003358,1,3
121,605,100,1.003464,1,3
122,610,100,1.003572,1,3
123,615,100,1.003404,1,3
124,620,100,1.00373,1,3
125,625,100,1.003468,1,3
126,630,100,1.003502,1,3
127,635,100,1.003938,1,3
128,640,100,1.003644,1,3
129,645,100,1.003602,1,3
130,650,100,1.00384,1,3
131,655,100,1.00381,1,3
132,660,100,1.004014,1,3
133,665,100,1.003942,1,3
134,670,100,1.004148,1,3
135,675,100,1.004018,1,3
136,680,100,1.00411,1,3
137,685,100,1.003866,1,3
138,690,100,1.004194,1,3
139,695,100,1.004186,1,3
140,700,100,1.004392,1,3
141,705,100,1.004616,1,3
142,710,100,1.004404,1,3
143,715,100,1.004404,1,3
144,720,100,1.004354,1,3
145,725,100,1.00446,1,3
146,730,100,1.00431,1,3
147,735,100,1.004772,1,3
148,740,100,1.004558,1,3
149,745,100,1.00483,1,3
150,750,100,1.004884,1,3
151,755,100,1.004618,1,3
152,760,100,1.004762,1,3
153,765,100,1.004708,1,3
154,770,100,1.005022,1,3
155,775,100,1.004656,1,3
156,780,100,1.005126,1,3
157,785,100,1.00507,1,3
158,790,100,1.00512,1,3
159,795,100,1.005176,1,3
160,800,100,1.005356,1,3
161,805,100,1.00554,1,3
162,810,100,1.005094,1,3
163,815,100,1.00552,1,3
164,820,100,1.00523,1,3
165,825,100,1.00506,1,3
166,830,100,1.005772,1,3
167,835,100,1.005872,1,3
168,840,100,1.005856,1,3
169,845,100,1.005418,1,3
170,850,100,1.005454,1,3
171,855,100,1.005766,1,3
172,860,100,1.005886,1,3
173,865,100,1.005934,1,3
174,870,100,1.005868,1,3
175,875,100,1.005874,1,3
176,880,100,1.005592,1,3
177,885,100,1.006278,1,3
178,890,100,1.00606,1,3
179,895,100,1.006096,1,3
180,900,100,1.006292,1,3
181,905,100,1.0062,1,3
182,910,100,1.006314,1,3
183,915,100,1.006156,1,3
184,920,100,1.006654,1,3
185,925,100,1.006232,1,3
186,930,100,1.006298,1,3
187,935,100,1.006276,1,3
188,940,100,1.00664,1,3
189,945,100,1.006458,1,3
190,950,100,1.006606,1,3
191,955,100,1.006918,1,3
192,960,100,1.006784,1,3
193,965,100,1.006378,1,3
194,970,100,1.00658,1,3
195,975,100,1.006414,1,3
196,980,100,1.00657,1,3
197,985,100,1.007042,1,3
198,990,100,1.006936,1,3
199,995,100,1.007274,1,3
200,1000,100,1.007056,1,3
201,0,100,0.0,1,3
202,5,100,0.025,1,3
203,10,100,0.049978,1,3
204,15,100,0.074988,1,3
205,20,100,0.099986,1,3
206,25,100,0.124968,1,3
207,30,100,0.149964,1,3
208,35,100,0.174946,1,3
209,40,100,0.199928,1,3
210,45,100,0.224888,1,3
211,50,100,0.24992,1,3
212,55,100,0.27488,1,3
213,60,100,0.299864,1,3
214,65,100,0.324844,1,3
215,70,100,0.349746,1,3
216,75,100,0.374806,1,3
217,80,100,0.399712,1,3
218,85,100,0.424654,1,3
219,90,100,0.449658,1,3
220,95,100,0.474674,1,3
221,100,100,0.49965,1,3
222,105,100,0.52462,1,3
223,110,100,0.549664,1,3
224,115,100,0.574396,1,3
225,120,100,0.599426,1,3
226,125,100,0.624486,1,3
227,130,100,0.649368,1,3
228,135,100,0.674264,1,3
229,140,100,0.699314,1,3
230,145,100,0.723944,1,3
231,150,100,0.748882,1,3
232,155,100,0.77381,1,3
233,160,100,0.798862,1,3
234,165,100,0.823824,1,3
235,170,100,0.848232,1,3
236,175,100,0.873252,1,3
237,180,100,0.897496,1,3
238,185,100,0.92056,1,3
239,190,100,0.946288,1,3
240,195,100,0.836348,1,3
241,200,100,0.994246,1,3
242,205,100,0.960624,1,3
243,210,100,0.926778,1,3
244,215,100,0.863,1,3
245,220,100,0.868746,1,3
246,225,100,0.879214,1,3
247,230,100,0.883072,1,3
248,235,100,0.890002,1,3
249,240,100,0.894312,1,3
250,245,100,0.90191,1,3
251,250,100,0.906012,1,3
252,255,100,0.913804,1,3
253,260,100,0.9191,1,3
254,265,100,0.926534,1,3
255,270,100,0.931008,1,3
256,275,100,0.939936,1,3
257,280,100,0.945592,1,3
258,285,100,0.952298,1,3
259,290,100,0.956858,1,3
260,295,100,0.962846,1,3
261,300,100,0.970344,1,3
262,305,100,0.975134,1,3
263,310,100,0.982634,1,3
264,315,100,0.986086,1,3
265,320,100,0.989042,1,3
266,325,100,0.995854,1,3
267,330,100,0.999802,1,3
268,335,100,1.00033,1,3
269,340,100,1.00036,1,3
270,345,100,1.000648,1,3
271,350,100,1.00039,1,3
272,355,100,1.00069,1,3
273,360,100,1.000692,1,3
274,365,100,1.001118,1,3
275,370,100,1.00131,1,3
276,375,100,1.001278,1,3
277,380,100,1.00119,1,3
278,385,100,1.001374,1,3
279,390,100,1.001534,1,3
280,395,100,1.001366,1,3
281,400,100,1.00142,1,3
282,405,100,1.001686,1,3
283,410,100,1.001658,1,3
284,415,100,1.00155,1,3
285,420,100,1.00156,1,3
286,425,100,1.001702,1,3
287,430,100,1.002028,1,3
288,435,100,1.001762,1,3
289,440,100,1.001886,1,3
290,445,100,1.001926,1,3
291,450,100,1.001906,1,3
292,455,100,1.00197,1,3
293,460,100,1.002112,1,3
294,465,100,1.002146,1,3
295,470,100,1.002116,1,3
296,475,100,1.00212,1,3
297,480,100,1.00244,1,3
298,485,100,1.002284,1,3
299,490,100,1.002236,1,3
300,495,100,1.002324,1,3
301,500,100,1.00248,1,3
302,505,100,1.002614,1,3
303,510,100,1.002746,1,3
304,515,100,1.002672,1,3
305,520,100,1.00264,1,3
306,525,100,1.002714,1,3
307,530,100,1.002808,1,3
308,535,100,1.002728,1,3
309,540,100,1.003016,1,3
310,545,100,1.003026,1,3
311,550,100,1.003012,1,3
312,555,100,1.003094,1,3
313,560,100,1.002808,1,3
314,565,100,1.002962,1,3
315,570,100,1.00303,1,3
316,575,100,1.002978,1,3
317,580,100,1.003276,1,3
318,585,100,1.003512,1,3
319,590,100,1.003182,1,3
320,595,100,1.003426,1,3
321,600,100,1.00328,1,3
322,605,100,1.003318,1,3
323,610,100,1.003528,1,3
324,615,100,1.00356,1,3
325,620,100,1.003536,1,3
326,625,100,1.00361,1,3
327,630,100,1.003588,1,3
328,635,100,1.003866,1,3
329,640,100,1.003618,1,3
330,645,100,1.00377,1,3
331,650,100,1.003904,1,3
332,655,100,1.003802,1,3
333,660,100,1.004174,1,3
334,665,100,1.00399,1,3
335,670,100,1.004002,1,3
336,675,100,1.004198,1,3
337,680,100,1.003944,1,3
338,685,100,1.003952,1,3
339,690,100,1.004004,1,3
340,695,100,1.004336,1,3
341,700,100,1.004542,1,3
342,705,100,1.004324,1,3
343,710,100,1.004438,1,3
344,715,100,1.00464,1,3
345,720,100,1.004438,1,3
346,725,100,1.004574,1,3
347,730,100,1.004802,1,3
348,735,100,1.004536,1,3
349,740,100,1.004628,1,3
350,745,100,1.004728,1,3
351,750,100,1.00467,1,3
352,755,100,1.004732,1,3
353,760,100,1.004674,1,3
354,765,100,1.004986,1,3
355,770,100,1.004936,1,3
356,775,100,1.005204,1,3
357,780,100,1.005146,1,3
358,785,100,1.005484,1,3
359,790,100,1.005264,1,3
360,795,100,1.005672,1,3
361,800,100,1.005292,1,3
362,805,100,1.005216,1,3
363,810,100,1.005166,1,3
364,815,100,1.005486,1,3
365,820,100,1.005234,1,3
366,825,100,1.005436,1,3
367,830,100,1.005308,1,3
368,835,100,1.005434,1,3
369,840,100,1.005598,1,3
370,845,100,1.005372,1,3
371,850,100,1.005376,1,3
372,855,100,1.00557,1,3
373,860,100,1.005406,1,3
374,865,100,1.005862,1,3
375,870,100,1.00568,1,3
376,875,100,1.005754,1,3
377,880,100,1.00562,1,3
378,885,100,1.006024,1,3
379,890,100,1.006182,1,3
380,895,100,1.006148,1,3
381,900,100,1.005996,1,3
382,905,100,1.006322,1,3
383,910,100,1.006162,1,3
384,915,100,1.00622,1,3
385,920,100,1.006086,1,3
386,925,100,1.006184,1,3
387,930,100,1.00594,1,3
388,935,100,1.006174,1,3
389,940,100,1.00629,1,3
390,945,100,1.006464,1,3
391,950,100,1.006346,1,3
392,955,100,1.006322,1,3
393,960,100,1.006804,1,3
394,965,100,1.006646,1,3
395,970,100,1.00653,1,3
396,975,100,1.006868,1,3
397,980,100,1.007132,1,3
398,985,100,1.006876,1,3
399,990,100,1.00705,1,3
400,995,100,1.006918,1,3
401,1000,100,1.00717,1,3
402,0,100,0.0,1,3
403,5,100,0.025004,1,3
404,10,100,0.050004,1,3
405,15,100,0.074986,1,3
406,20,100,0.100004,1,3
407,25,100,0.12494,1,3
408,30,100,0.149946,1,3
409,35,100,0.174932,1,3
410,40,100,0.199944,1,3
411,45,100,0.224924,1,3
412,50,100,0.2499,1,3
413,55,100,0.274868,1,3
414,60,100,0.2999,1,3
415,65,100,0.324834,1,3
416,70,100,0.349804,1,3
417,75,100,0.374876,1,3
418,80,100,0.399814,1,3
419,85,100,0.424712,1,3
420,90,100,0.449704,1,3
421,95,100,0.47472,1,3
422,100,100,0.499602,1,3
423,105,100,0.524538,1,3
424,110,100,0.549572,1,3
425,115,100,0.574542,1,3
426,120,100,0.599412,1,3
427,125,100,0.62448,1,3
428,130,100,0.649316,1,3
429,135,100,0.674158,1,3
430,140,100,0.698958,1,3
431,145,100,0.724148,1,3
432,150,100,0.74895,1,3
433,155,100,0.774004,1,3
434,160,100,0.798258,1,3
435,165,100,0.82348,1,3
436,170,100,0.848504,1,3
437,175,100,0.87339,1,3
438,180,100,0.898108,1,3
439,185,100,0.922602,1,3
440,190,100,0.946208,1,3
441,195,100,0.97119,1,3
442,200,100,0.903,1,3
443,205,100,0.96122,1,3
444,210,100,0.968874,1,3
445,215,100,0.861642,1,3
446,220,100,0.983464,1,3
447,225,100,0.874196,1,3
448,230,100,0.882098,1,3
449,235,100,0.887946,1,3
450,240,100,0.894956,1,3
451,245,100,0.90184,1,3
452,250,100,0.90656,1,3
453,255,100,0.915588,1,3
454,260,100,0.919266,1,3
455,265,100,0.927224,1,3
456,270,100,0.933728,1,3
457,275,100,0.938706,1,3
458,280,100,0.948096,1,3
459,285,100,0.950748,1,3
460,290,100,0.95698,1,3
461,295,100,0.963024,1,3
462,300,100,0.968688,1,3
463,305,100,0.976364,1,3
464,310,100,0.981414,1,3
465,315,100,0.987632,1,3
466,320,100,0.993054,1,3
467,325,100,0.99578,1,3
468,330,100,0.99951,1,3
469,335,100,1.00079,1,3
470,340,100,0.99931,1,3
471,345,100,1.00082,1,3
472,350,100,1.00082,1,3
473,355,100,1.00098,1,3
474,360,100,1.00107,1,3
475,365,100,1.001206,1,3
476,370,100,1.001094,1,3
477,375,100,1.001254,1,3
478,380,100,1.001288,1,3
479,385,100,1.001308,1,3
480,390,100,1.001218,1,3
481,395,100,1.001436,1,3
482,400,100,1.001508,1,3
483,405,100,1.001568,1,3
484,410,100,1.001706,1,3
485,415,100,1.00148,1,3
486,420,100,1.001724,1,3
487,425,100,1.001728,1,3
488,430,100,1.001622,1,3
489,435,100,1.0018,1,3
490,440,100,1.001964,1,3
491,445,100,1.00193,1,3
492,450,100,1.002064,1,3
493,455,100,1.001862,1,3
494,460,100,1.00208,1,3
495,465,100,1.001942,1,3
496,470,100,1.002278,1,3
497,475,100,1.00228,1,3
498,480,100,1.0024,1,3
499,485,100,1.002362,1,3
500,490,100,1.00254,1,3
501,495,100,1.002198,1,3
502,500,100,1.002578,1,3
503,505,100,1.002464,1,3
504,510,100,1.002484,1,3
505,515,100,1.002568,1,3
506,520,100,1.002894,1,3
507,525,100,1.002786,1,3
508,530,100,1.002606,1,3
509,535,100,1.002782,1,3
510,540,100,1.002844,1,3
511,545,100,1.00284,1,3
512,550,100,1.002918,1,3
513,555,100,1.00302,1,3
514,560,100,1.00319,1,3
515,565,100,1.003032,1,3
516,570,100,1.003386,1,3
517,575,100,1.003226,1,3
518,580,100,1.003254,1,3
519,585,100,1.003118,1,3
520,590,100,1.003222,1,3
521,595,100,1.003258,1,3
522,600,100,1.003432,1,3
523,605,100,1.003224,1,3
524,610,100,1.003548,1,3
525,615,100,1.00317,1,3
526,620,100,1.003456,1,3
527,625,100,1.003656,1,3
528,630,100,1.003776,1,3
529,635,100,1.0037,1,3
530,640,100,1.003802,1,3
531,645,100,1.003734,1,3
532,650,100,1.003914,1,3
533,655,100,1.00387,1,3
534,660,100,1.00366,1,3
535,665,100,1.004052,1,3
536,670,100,1.004082,1,3
537,675,100,1.003812,1,3
538,680,100,1.004134,1,3
539,685,100,1.004086,1,3
540,690,100,1.003946,1,3
541,695,100,1.004442,1,3
542,700,100,1.00442,1,3
543,705,100,1.004192,1,3
544,710,100,1.004284,1,3
545,715,100,1.00467,1,3
