,N/L,Flow,Pat,r_a
0,0.0,0.0,1,9
1,0.1,0.049962,1,9
2,0.2,0.099858,1,9
3,0.3,0.149796,1,9
4,0.4,0.199752,1,9
5,0.5,0.244462,1,9
6,0.6,0.287452,1,9
7,0.7,0.308076,1,9
8,0.8,0.336752,1,9
9,0.9,0.377056,1,9
10,1.0,0.40489,1,9
11,1.1,0.444748,1,9
12,1.2,0.474798,1,9
13,1.3,0.512326,1,9
14,1.4,0.54369,1,9
15,1.5,0.575056,1,9
16,1.6,0.60906,1,9
17,1.7,0.640542,1,9
18,1.8,0.671544,1,9
19,1.9,0.70435,1,9
20,2.0,0.735214,1,9
21,2.1,0.76711,1,9
22,2.2,0.797776,1,9
23,2.3,0.828614,1,9
24,2.4,0.858116,1,9
25,2.5,0.88627,1,9
26,2.6,0.90949,1,9
27,2.7,0.924294,1,9
28,2.8,0.931664,1,9
29,2.9,0.942452,1,9
30,3.0,0.947138,1,9
31,3.1,0.957988,1,9
32,3.2,0.964574,1,9
33,3.3,0.963806,1,9
34,3.4,0.969722,1,9
35,3.5,0.978558,1,9
36,0.0,0.0,1,9
37,0.1,0.049962,1,9
38,0.2,0.099926,1,9
39,0.3,0.149856,1,9
40,0.4,0.199612,1,9
41,0.5,0.246016,1,9
42,0.6,0.27446,1,9
43,0.7,0.305452,1,9
44,0.8,0.343162,1,9
45,0.9,0.378014,1,9
46,1.0,0.408584,1,9
47,1.1,0.441524,1,9
48,1.2,0.471812,1,9
49,1.3,0.508,1,9
50,1.4,0.539616,1,9
51,1.5,0.574966,1,9
52,1.6,0.6056,1,9
53,1.7,0.639994,1,9
54,1.8,0.67164,1,9
55,1.9,0.704672,1,9
56,2.0,0.735322,1,9
57,2.1,0.764986,1,9
58,2.2,0.796676,1,9
59,2.3,0.827268,1,9
60,2.4,0.85557,1,9
61,2.5,0.883748,1,9
62,2.6,0.906304,1,9
63,2.7,0.920192,1,9
64,2.8,0.933148,1,9
65,2.9,0.941494,1,9
66,3.0,0.957064,1,9
67,3.1,0.959826,1,9
68,3.2,0.97054,1,9
69,3.3,0.971304,1,9
70,3.4,0.971802,1,9
71,3.5,0.979198,1,9
72,0.0,0.0,1,9
73,0.1,0.049962,1,9
74,0.2,0.0999,1,9
75,0.3,0.149862,1,9
76,0.4,0.199822,1,9
77,0.5,0.244824,1,9
78,0.6,0.274548,1,9
79,0.7,0.310258,1,9
80,0.8,0.341626,1,9
81,0.9,0.374422,1,9
82,1.0,0.413542,1,9
83,1.1,0.446432,1,9
84,1.2,0.47557,1,9
85,1.3,0.509094,1,9
86,1.4,0.544132,1,9
87,1.5,0.577132,1,9
88,1.6,0.606,1,9
89,1.7,0.639018,1,9
90,1.8,0.672188,1,9
91,1.9,0.703454,1,9
92,2.0,0.735336,1,9
93,2.1,0.76676,1,9
94,2.2,0.798254,1,9
95,2.3,0.828916,1,9
96,2.4,0.857552,1,9
97,2.5,0.88422,1,9
98,2.6,0.90596,1,9
99,2.7,0.926064,1,9
100,2.8,0.936282,1,9
101,2.9,0.94225,1,9
102,3.0,0.952676,1,9
103,3.1,0.959834,1,9
104,3.2,0.961806,1,9
105,3.3,0.971184,1,9
106,3.4,0.97462,1,9
107,3.5,0.984658,1,9
108,0.0,0.0,1,9
109,0.1,0.049962,1,9
110,0.2,0.099904,1,9
111,0.3,0.149848,1,9
112,0.4,0.197978,1,9
113,0.5,0.243492,1,9
114,0.6,0.273668,1,9
115,0.7,0.310076,1,9
116,0.8,0.339556,1,9
117,0.9,0.372818,1,9
118,1.0,0.409946,1,9
119,1.1,0.443406,1,9
120,1.2,0.475756,1,9
121,1.3,0.511196,1,9
122,1.4,0.546524,1,9
123,1.5,0.576742,1,9
124,1.6,0.60709,1,9
125,1.7,0.637986,1,9
126,1.8,0.673298,1,9
127,1.9,0.703074,1,9
128,2.0,0.735556,1,9
129,2.1,0.767052,1,9
130,2.2,0.796838,1,9
131,2.3,0.827674,1,9
132,2.4,0.857128,1,9
133,2.5,0.885484,1,9
134,2.6,0.905186,1,9
135,2.7,0.920614,1,9
136,2.8,0.930536,1,9
137,2.9,0.943376,1,9
138,3.0,0.950614,1,9
139,3.1,0.961536,1,9
140,3.2,0.961868,1,9
141,3.3,0.973118,1,9
142,3.4,0.974132,1,9
143,3.5,0.974494,1,9
144,0.0,0.0,1,9
145,0.1,0.049964,1,9
146,0.2,0.099898,1,9
147,0.3,0.149796,1,9
148,0.4,0.199752,1,9
149,0.5,0.233834,1,9
150,0.6,0.26878,1,9
151,0.7,0.303842,1,9
152,0.8,0.341856,1,9
153,0.9,0.378246,1,9
154,1.0,0.40505,1,9
155,1.1,0.445804,1,9
156,1.2,0.476328,1,9
157,1.3,0.508658,1,9
158,1.4,0.542088,1,9
159,1.5,0.576532,1,9
160,1.6,0.609182,1,9
161,1.7,0.638162,1,9
162,1.8,0.671226,1,9
163,1.9,0.703616,1,9
164,2.0,0.73427,1,9
165,2.1,0.766332,1,9
166,2.2,0.797968,1,9
167,2.3,0.827942,1,9
168,2.4,0.85745,1,9
169,2.5,0.885178,1,9
170,2.6,0.906794,1,9
171,2.7,0.922954,1,9
172,2.8,0.93066,1,9
173,2.9,0.947912,1,9
174,3.0,0.950888,1,9
175,3.1,0.95985,1,9
176,3.2,0.968588,1,9
177,3.3,0.977268,1,9
178,3.4,0.974982,1,9
179,3.5,0.972534,1,9
180,0.0,0.0,1,9
181,0.1,0.049956,1,9
182,0.2,0.0999,1,9
183,0.3,0.144748,1,9
184,0.4,0.199744,1,9
185,0.5,0.2365,1,9
186,0.6,0.299096,1,9
187,0.7,0.30614,1,9
188,0.8,0.340076,1,9
189,0.9,0.375726,1,9
190,1.0,0.410338,1,9
191,1.1,0.442488,1,9
192,1.2,0.473108,1,9
193,1.3,0.511974,1,9
194,1.4,0.543852,1,9
195,1.5,0.575968,1,9
196,1.6,0.607534,1,9
197,1.7,0.63997,1,9
198,1.8,0.670148,1,9
199,1.9,0.702534,1,9
200,2.0,0.736214,1,9
201,2.1,0.766904,1,9
202,2.2,0.798844,1,9
203,2.3,0.828282,1,9
204,2.4,0.858962,1,9
205,2.5,0.883662,1,9
206,2.6,0.909274,1,9
207,2.7,0.922164,1,9
208,2.8,0.931172,1,9
209,2.9,0.941886,1,9
210,3.0,0.949918,1,9
211,3.1,0.959158,1,9
212,3.2,0.9659,1,9
213,3.3,0.970742,1,9
214,3.4,0.971018,1,9
215,3.5,0.974862,1,9
216,0.0,0.0,1,9
217,0.1,0.049954,1,9
218,0.2,0.099896,1,9
219,0.3,0.14986,1,9
220,0.4,0.199796,1,9
221,0.5,0.242664,1,9
222,0.6,0.27137,1,9
223,0.7,0.303924,1,9
224,0.8,0.343346,1,9
225,0.9,0.370606,1,9
226,1.0,0.407146,1,9
227,1.1,0.440848,1,9
228,1.2,0.474606,1,9
229,1.3,0.509188,1,9
230,1.4,0.541174,1,9
231,1.5,0.573434,1,9
232,1.6,0.606258,1,9
233,1.7,0.639464,1,9
234,1.8,0.672506,1,9
235,1.9,0.704578,1,9
236,2.0,0.730962,1,9
237,2.1,0.766688,1,9
238,2.2,0.79651,1,9
239,2.3,0.829302,1,9
240,2.4,0.855688,1,9
241,2.5,0.883706,1,9
242,2.6,0.91282,1,9
243,2.7,0.9256,1,9
244,2.8,0.944066,1,9
245,2.9,0.942022,1,9
246,3.0,0.958602,1,9
247,3.1,0.956356,1,9
248,3.2,0.968084,1,9
249,3.3,0.976868,1,9
250,3.4,0.973202,1,9
251,3.5,0.984962,1,9
252,0.0,0.0,1,9
253,0.1,0.049966,1,9
254,0.2,0.099924,1,9
255,0.3,0.149826,1,9
256,0.4,0.199192,1,9
257,0.5,0.247522,1,9
258,0.6,0.273822,1,9
259,0.7,0.30406,1,9
260,0.8,0.340006,1,9
261,0.9,0.37194,1,9
262,1.0,0.414824,1,9
263,1.1,0.443058,1,9
264,1.2,0.475702,1,9
265,1.3,0.509796,1,9
266,1.4,0.543186,1,9
267,1.5,0.575638,1,9
268,1.6,0.608284,1,9
269,1.7,0.639588,1,9
270,1.8,0.672136,1,9
271,1.9,0.704036,1,9
272,2.0,0.736002,1,9
273,2.1,0.766792,1,9
274,2.2,0.799576,1,9
275,2.3,0.828488,1,9
276,2.4,0.859152,1,9
277,2.5,0.885954,1,9
278,2.6,0.905506,1,9
279,2.7,0.927596,1,9
280,2.8,0.930828,1,9
281,2.9,0.947078,1,9
282,3.0,0.948964,1,9
283,3.1,0.95474,1,9
284,3.2,0.966428,1,9
285,3.3,0.972152,1,9
286,3.4,0.971368,1,9
287,3.5,0.97881,1,9
288,0.0,0.0,1,9
289,0.1,0.049958,1,9
290,0.2,0.099928,1,9
291,0.3,0.14988,1,9
292,0.4,0.199804,1,9
293,0.5,0.249756,1,9
294,0.6,0.299266,1,9
295,0.7,0.306882,1,9
296,0.8,0.340654,1,9
297,0.9,0.37839,1,9
298,1.0,0.40674,1,9
299,1.1,0.444512,1,9
300,1.2,0.476396,1,9
301,1.3,0.510308,1,9
302,1.4,0.542466,1,9
303,1.5,0.573188,1,9
304,1.6,0.60826,1,9
305,1.7,0.63842,1,9
306,1.8,0.672082,1,9
307,1.9,0.704292,1,9
308,2.0,0.734292,1,9
309,2.1,0.766846,1,9
310,2.2,0.798404,1,9
311,2.3,0.829534,1,9
312,2.4,0.858264,1,9
313,2.5,0.88411,1,9
314,2.6,0.906502,1,9
315,2.7,0.92613,1,9
316,2.8,0.934278,1,9
317,2.9,0.94372,1,9
318,3.0,0.953446,1,9
319,3.1,0.964156,1,9
320,3.2,0.963006,1,9
321,3.3,0.967872,1,9
322,3.4,0.972996,1,9
323,3.5,0.978138,1,9
324,0.0,0.0,1,9
325,0.1,0.049956,1,9
326,0.2,0.099896,1,9
327,0.3,0.149822,1,9
328,0.4,0.199694,1,9
329,0.5,0.248918,1,9
330,0.6,0.27233,1,9
331,0.7,0.309506,1,9
332,0.8,0.34343,1,9
333,0.9,0.373472,1,9
334,1.0,0.406092,1,9
335,1.1,0.438734,1,9
336,1.2,0.472646,1,9
337,1.3,0.50873,1,9
338,1.4,0.54389,1,9
339,1.5,0.576688,1,9
340,1.6,0.605924,1,9
341,1.7,0.639706,1,9
342,1.8,0.67216,1,9
343,1.9,0.705336,1,9
344,2.0,0.736452,1,9
345,2.1,0.766656,1,9
346,2.2,0.798192,1,9
347,2.3,0.828624,1,9
348,2.4,0.85812,1,9
349,2.5,0.886322,1,9
350,2.6,0.906362,1,9
351,2.7,0.92376,1,9
352,2.8,0.937232,1,9
353,2.9,0.94872,1,9
354,3.0,0.952338,1,9
355,3.1,0.963096,1,9
356,3.2,0.96245,1,9
357,3.3,0.975064,1,9
358,3.4,0.981562,1,9
359,3.5,0.980292,1,9
