,N,L,Flow,Pat,r_a,speed
0,10,100,0.05002,1,3,0.0
1,20,100,0.099996,1,3,0.0
2,30,100,0.149982,1,3,0.0
3,40,100,0.199986,1,3,0.0
4,50,100,0.25,1,3,0.0
5,60,100,0.299922,1,3,0.0
6,70,100,0.349908,1,3,0.0
7,80,100,0.39981,1,3,0.0
8,90,100,0.449838,1,3,0.0
9,100,100,0.4998,1,3,0.0
10,110,100,0.54963,1,3,0.0
11,120,100,0.599606,1,3,0.0
12,130,100,0.649508,1,3,0.0
13,140,100,0.699314,1,3,0.0
14,150,100,0.749294,1,3,0.0
15,160,100,0.799196,1,3,0.0
16,170,100,0.848016,1,3,0.0
17,180,100,0.898424,1,3,0.0
18,190,100,0.946574,1,3,0.0
19,200,100,0.848478,1,3,0.1251909278984188
20,210,100,0.92756,1,3,0.22572531284883873
21,220,100,0.869478,1,3,0.1379865928968196
22,230,100,0.881758,1,3,0.12324625330132757
23,240,100,0.894264,1,3,0.1351035217304711
24,250,100,0.906038,1,3,0.13203920398393643
25,260,100,0.918976,1,3,0.1229496524500786
26,270,100,0.932736,1,3,0.15370981697537184
27,280,100,0.945768,1,3,0.12523951587460405
28,290,100,0.958238,1,3,0.16956396876954735
29,300,100,0.970298,1,3,0.1946898245189831
30,310,100,0.981262,1,3,0.16725217789988214
31,320,100,0.991448,1,3,0.26769848804749896
32,330,100,1.000086,1,3,11.438223938223558
33,340,100,1.00118,1,3,7.132613358607093
34,350,100,1.00116,1,3,10.791128032584421
35,10,100,0.050002,1,3,0.0
36,20,100,0.10003,1,3,0.0
37,30,100,0.149994,1,3,0.0
38,40,100,0.19998,1,3,0.0
39,50,100,0.249964,1,3,0.0
40,60,100,0.299976,1,3,0.0
41,70,100,0.349866,1,3,0.0
42,80,100,0.399854,1,3,0.0
43,90,100,0.44979,1,3,0.0
44,100,100,0.49967,1,3,0.0
45,110,100,0.549658,1,3,0.0
46,120,100,0.599544,1,3,0.0
47,130,100,0.649294,1,3,0.0
48,140,100,0.699424,1,3,0.0
49,150,100,0.748936,1,3,0.0
50,160,100,0.798926,1,3,0.0
51,170,100,0.848766,1,3,0.0
52,180,100,0.89764,1,3,0.0
53,190,100,0.94696,1,3,0.0
54,200,100,0.99308,1,3,0.0
55,210,100,0.863728,1,3,0.13091832201010994
56,220,100,0.867826,1,3,0.12572448076750978
57,230,100,0.883038,1,3,0.16866105655325198
58,240,100,0.895618,1,3,0.1288419736572092
59,250,100,0.908486,1,3,0.13394440133828278
60,260,100,0.919648,1,3,0.1443284120356276
61,270,100,0.93217,1,3,0.12969632309654353
62,280,100,0.945272,1,3,0.12953113313664807
63,290,100,0.958146,1,3,0.12676210784985226
64,300,100,0.971408,1,3,0.12780185985779868
65,310,100,0.982572,1,3,0.19995373820758847
66,320,100,0.99122,1,3,0.3035496122735895
67,330,100,1.000022,1,3,6.9942408376961485
68,340,100,1.00064,1,3,37.49999999998509
69,350,100,1.000064,1,3,7.908861292355646
70,10,100,0.05,1,3,0.0
71,20,100,0.100036,1,3,0.0
72,30,100,0.14997,1,3,0.0
73,40,100,0.199948,1,3,0.0
74,50,100,0.249916,1,3,0.0
75,60,100,0.299874,1,3,0.0
76,70,100,0.349864,1,3,0.0
77,80,100,0.399804,1,3,0.0
78,90,100,0.449708,1,3,0.0
79,100,100,0.49969,1,3,0.0
80,110,100,0.549602,1,3,0.0
81,120,100,0.599568,1,3,0.0
82,130,100,0.649458,1,3,0.0
83,140,100,0.699306,1,3,0.0
84,150,100,0.749102,1,3,0.0
85,160,100,0.798914,1,3,0.0
86,170,100,0.848756,1,3,0.0
87,180,100,0.89777,1,3,0.0
88,190,100,0.947536,1,3,0.0
89,200,100,0.99267,1,3,0.0
90,210,100,0.957328,1,3,0.12482008401116301
91,220,100,0.869736,1,3,0.13266983083376324
92,230,100,0.882096,1,3,0.13347662017340928
93,240,100,0.895,1,3,0.11692772177331288
94,250,100,0.90915,1,3,0.13622978491619417
95,260,100,0.920484,1,3,0.12835463326242214
96,270,100,0.933894,1,3,0.12101297055877397
97,280,100,0.9459,1,3,0.12698678635650956
98,290,100,0.95727,1,3,0.13274884546709764
99,300,100,0.97112,1,3,0.1430183852916639
100,310,100,0.982096,1,3,0.1372934239816475
101,320,100,0.99102,1,3,0.49034428740825575
102,330,100,0.998848,1,3,1.393804994393645
103,340,100,1.000362,1,3,23.336909871246302
104,350,100,1.000808,1,3,37.49999999997784
105,10,100,0.050008,1,3,0.0
106,20,100,0.099988,1,3,0.0
107,30,100,0.150008,1,3,0.0
108,40,100,0.200008,1,3,0.0
109,50,100,0.249936,1,3,0.0
110,60,100,0.299936,1,3,0.0
111,70,100,0.349914,1,3,0.0
112,80,100,0.399832,1,3,0.0
113,90,100,0.449714,1,3,0.0
114,100,100,0.49977,1,3,0.0
115,110,100,0.549688,1,3,0.0
116,120,100,0.599562,1,3,0.0
117,130,100,0.649484,1,3,0.0
118,140,100,0.699274,1,3,0.0
119,150,100,0.749074,1,3,0.0
120,160,100,0.798898,1,3,0.0
121,170,100,0.848446,1,3,0.0
122,180,100,0.897966,1,3,0.0
123,190,100,0.947614,1,3,0.0
124,200,100,0.902714,1,3,0.22581587505489484
125,210,100,0.86241,1,3,0.11879024260614592
126,220,100,0.868888,1,3,0.1281629358544399
127,230,100,0.887882,1,3,0.1338427776807236
128,240,100,0.89803,1,3,0.13545858649622552
129,250,100,0.906908,1,3,0.12679166242034176
130,260,100,0.92145,1,3,0.12172778807325439
131,270,100,0.933458,1,3,0.13157997375622268
132,280,100,0.945316,1,3,0.12178840981255327
133,290,100,0.957876,1,3,0.1344339240622568
134,300,100,0.970514,1,3,0.1342715582362662
135,310,100,0.980724,1,3,0.19187733213256297
136,320,100,0.991892,1,3,0.282310632685651
137,330,100,0.99933,1,3,3.9038549969346374
138,340,100,1.000624,1,3,8.41968911917268
139,350,100,1.000668,1,3,6.93981481481431
140,10,100,0.05,1,3,0.0
141,20,100,0.099966,1,3,0.0
142,30,100,0.14995,1,3,0.0
143,40,100,0.199952,1,3,0.0
144,50,100,0.24995,1,3,0.0
145,60,100,0.299918,1,3,0.0
146,70,100,0.349794,1,3,0.0
147,80,100,0.399816,1,3,0.0
148,90,100,0.449806,1,3,0.0
149,100,100,0.499704,1,3,0.0
150,110,100,0.549698,1,3,0.0
151,120,100,0.599614,1,3,0.0
152,130,100,0.649614,1,3,0.0
153,140,100,0.69918,1,3,0.0
154,150,100,0.749206,1,3,0.0
155,160,100,0.798808,1,3,0.0
156,170,100,0.848446,1,3,0.0
157,180,100,0.89836,1,3,0.0
158,190,100,0.94688,1,3,0.0
159,200,100,0.84386,1,3,0.14029087963764952
160,210,100,0.993136,1,3,0.07740493168408887
161,220,100,0.870524,1,3,0.12307155820709936
162,230,100,0.883328,1,3,0.1138621482868858
163,240,100,0.897242,1,3,0.14168126768984765
164,250,100,0.906178,1,3,0.12673813771623488
