,N,L,Flow,Pat,r_a,speed
0,210,100,0.968452,1,3,0.15911067422393965
1,210,100,0.926236,1,3,0.2257691719533569
2,210,100,0.854338,1,3,0.13844014221547155
3,210,100,0.927332,1,3,0.2257071650517169
4,210,100,0.851638,1,3,0.13294047093177117
5,210,100,0.858152,1,3,0.13218644630946066
6,210,100,0.995718,1,3,0.0
7,210,100,0.857258,1,3,0.13878854494499943
8,210,100,0.928162,1,3,0.22574008574124102
9,210,100,0.99115,1,3,0.0
10,210,100,0.858072,1,3,0.1317366100679617
11,210,100,0.991644,1,3,0.08411297959005214
12,210,100,0.92754,1,3,0.22578447649834008
13,210,100,0.856374,1,3,0.13589605901428845
14,210,100,0.996716,1,3,0.0
15,210,100,0.861348,1,3,0.13262409854293064
16,210,100,0.969216,1,3,0.1590155620655429
17,210,100,0.96783,1,3,0.1590158131488679
18,210,100,0.857508,1,3,0.13527918340702016
19,210,100,0.855498,1,3,0.13738847271181368
20,210,100,0.966814,1,3,0.15906083162408327
21,210,100,0.86071,1,3,0.1323832675592691
22,210,100,0.857148,1,3,0.1380899017222551
23,210,100,0.85629,1,3,0.13497127623017408
24,210,100,0.859292,1,3,0.1364127054499242
25,210,100,0.853488,1,3,0.13814833605133597
26,210,100,0.997462,1,3,0.0
27,210,100,0.855768,1,3,0.14024001866497374
28,210,100,0.856996,1,3,0.13293845017109934
29,210,100,0.938296,1,3,0.18422076836339843
30,210,100,0.855482,1,3,0.12972501411313495
31,210,100,0.992306,1,3,0.08974418948843138
32,210,100,0.855284,1,3,0.12721916676954204
33,210,100,0.9972,1,3,0.0
34,210,100,0.996318,1,3,0.5172413793103979
35,210,100,0.994746,1,3,0.0
36,210,100,0.96902,1,3,0.15912318253684657
37,210,100,0.858544,1,3,0.13109014472913688
38,210,100,0.86302,1,3,0.1434907892808555
39,210,100,0.853876,1,3,0.13259638127228413
40,210,100,0.853344,1,3,0.1322980834685115
41,210,100,0.855236,1,3,0.1365058894212493
42,210,100,0.84719,1,3,0.25389188275695757
43,210,100,0.93008,1,3,0.22572106823136295
44,210,100,0.964812,1,3,0.0
45,210,100,0.8588,1,3,0.16168135174340548
46,210,100,0.8587,1,3,0.1476222111791796
47,210,100,0.856494,1,3,0.13919116406589263
48,210,100,0.855664,1,3,0.13249158588237095
49,210,100,0.96813,1,3,0.1590486448153661
50,210,100,0.996358,1,3,0.0
51,210,100,0.961446,1,3,0.1594507551869731
52,210,100,0.99061,1,3,0.08691384443049227
53,210,100,0.861334,1,3,0.13993542018967572
54,210,100,0.969174,1,3,0.15904275967791168
55,210,100,0.852996,1,3,0.1395960175871488
56,210,100,0.856218,1,3,0.13402571463493976
57,210,100,0.856294,1,3,0.1367464592018707
58,210,100,0.860832,1,3,0.13154473493096822
59,210,100,0.969186,1,3,0.1590797180167715
60,210,100,0.85492,1,3,0.127014528706498
61,210,100,0.856804,1,3,0.13862616492174124
62,210,100,0.853178,1,3,0.13846401966007932
63,210,100,0.862758,1,3,0.10099314843004124
64,210,100,0.967426,1,3,0.15909241475456132
65,210,100,0.856082,1,3,0.1226504819287673
66,210,100,0.857816,1,3,0.12614414847503452
67,210,100,0.856894,1,3,0.12447783399546924
68,210,100,0.85561,1,3,0.13531802364874754
69,210,100,0.968254,1,3,0.1590549306011133
70,210,100,0.864254,1,3,0.1386744460324124
71,210,100,0.857632,1,3,0.1286177507284478
72,210,100,0.8531,1,3,0.12452176882966223
73,210,100,0.858276,1,3,0.12897356498591833
74,210,100,0.85748,1,3,0.1441804537315989
75,210,100,0.969182,1,3,0.15910809747918023
76,210,100,0.856814,1,3,0.13650558934962242
77,210,100,0.857128,1,3,0.14760911230860724
78,210,100,0.927218,1,3,0.225707165051717
79,210,100,0.861598,1,3,0.12904947788811394
80,210,100,0.854378,1,3,0.14626741947077126
81,210,100,0.854552,1,3,0.13112930880123558
82,210,100,0.997228,1,3,0.0
83,210,100,0.925922,1,3,0.22574201748549944
84,210,100,0.857352,1,3,0.12895323066395895
85,210,100,0.996756,1,3,0.0
86,210,100,0.925416,1,3,0.2257342998017511
87,210,100,0.856338,1,3,0.1261536178135234
88,210,100,0.860164,1,3,0.13234680179832742
89,210,100,0.855826,1,3,0.13603558485645262
90,210,100,0.8545,1,3,0.12954472642020262
91,210,100,0.86024,1,3,0.11174653933790532
92,210,100,0.856874,1,3,0.13653864803555152
93,210,100,0.860856,1,3,0.11359304266971347
94,210,100,0.996804,1,3,0.0
95,210,100,0.854834,1,3,0.13239963440742222
96,210,100,0.852332,1,3,0.1305022464750236
97,210,100,0.926172,1,3,0.22572996645460247
98,210,100,0.993242,1,3,0.08862986770538325
99,210,100,0.997262,1,3,0.0
100,210,100,0.969136,1,3,0.15902451340919582
101,210,100,0.856942,1,3,0.12570037537223921
102,210,100,0.969106,1,3,0.1590787397350484
103,210,100,0.857758,1,3,0.13457563544555023
104,210,100,0.984538,1,3,0.10642855433878547
105,210,100,0.986418,1,3,0.0
106,210,100,0.85596,1,3,0.13320783327142582
107,210,100,0.8577,1,3,0.13761617886860306
108,210,100,0.992114,1,3,0.08973013130323368
109,210,100,0.997666,1,3,0.0
110,210,100,0.855544,1,3,0.13176728004196148
111,210,100,0.992004,1,3,0.07070574193311759
112,210,100,0.86054,1,3,0.12808813600437527
113,210,100,0.855112,1,3,0.12822083188373182
114,210,100,0.993138,1,3,0.08974554382562713
115,210,100,0.936502,1,3,0.18570647552685204
116,210,100,0.85419,1,3,0.13720318639259713
117,210,100,0.86134,1,3,0.1285268602041604
118,210,100,0.86127,1,3,0.12573459567935938
119,210,100,0.860818,1,3,0.14348609493789186
120,210,100,0.85645,1,3,0.13995879588051668
121,210,100,0.855942,1,3,0.13919270729080294
122,210,100,0.852924,1,3,0.12312360750827513
123,210,100,0.973174,1,3,0.13722100121486097
124,210,100,0.997124,1,3,0.0
125,210,100,0.854924,1,3,0.13219025798073408
126,210,100,0.858868,1,3,0.14981093792947903
127,210,100,0.926932,1,3,0.22577932017234728
128,210,100,0.926674,1,3,0.2256747461887298
129,210,100,0.860842,1,3,0.13381544033065576
130,210,100,0.968248,1,3,0.1590125581288274
131,210,100,0.866202,1,3,0.1295256462061506
132,210,100,0.854492,1,3,0.13111861246517922
133,210,100,0.864992,1,3,0.11919369284235258
134,210,100,0.856188,1,3,0.131006356500389
135,210,100,0.996248,1,3,0.0
136,210,100,0.861512,1,3,0.12794555768570254
137,210,100,0.860776,1,3,0.13938561988705783
138,210,100,0.927454,1,3,0.2276584924321177
139,210,100,0.853306,1,3,0.13562554109531644
140,210,100,0.85995,1,3,0.13922086885044246
141,210,100,0.856396,1,3,0.16353009140650823
142,210,100,0.996826,1,3,0.0
143,210,100,0.927444,1,3,0.2256804426572319
144,210,100,0.927216,1,3,0.2258664577234264
145,210,100,0.851684,1,3,0.13216748233447553
146,210,100,0.972176,1,3,0.14859568309585183
147,210,100,0.969344,1,3,0.16440483770842018
148,210,100,0.931524,1,3,0.22585799767275064
149,210,100,0.858436,1,3,0.14092079617625777
150,210,100,0.981828,1,3,0.0
151,210,100,0.852648,1,3,0.13098937629810936
152,210,100,0.860366,1,3,0.13818531958180177
153,210,100,0.855352,1,3,0.13939939399916512
154,210,100,0.853884,1,3,0.1345765614105575
155,210,100,0.854574,1,3,0.18669102969470375
156,210,100,0.86104,1,3,0.10159360699028182
157,210,100,0.996192,1,3,8.330556481172941e-05
158,210,100,0.928798,1,3,0.2257810349422976
159,210,100,0.85464,1,3,0.1313008559791793
160,210,100,0.991822,1,3,0.0
161,210,100,0.854634,1,3,0.13140560303663323
162,210,100,0.855974,1,3,0.13849492555157783
163,210,100,0.928828,1,3,0.22578017039452447
164,210,100,0.855676,1,3,0.12780546682582514
165,210,100,0.857376,1,3,0.13603284856435927
166,210,100,0.852724,1,3,0.12998936822020965
167,210,100,0.968916,1,3,0.1590370786813115
168,210,100,0.927832,1,3,0.2258293944215514
169,210,100,0.859328,1,3,0.16273223312518892
170,210,100,0.969344,1,3,0.15902533772435343
171,210,100,0.92596,1,3,0.22585492393419274
172,210,100,0.854042,1,3,0.1352397096867912
173,210,100,0.854794,1,3,0.13121766161321172
174,210,100,0.8588,1,3,0.16137554226186612
175,210,100,0.855506,1,3,0.13833447765613036
176,210,100,0.852994,1,3,0.13811673013590067
177,210,100,0.854288,1,3,0.14315508857694081
178,210,100,0.993084,1,3,0.08237672907842968
179,210,100,0.85718,1,3,0.12869673046806074
