,N,L,Flow,Pat,r_a,speed
0,180,100,0.89777,1,3,0.0
1,181,100,0.902778,1,3,0.0
2,182,100,0.907928,1,3,0.0
3,183,100,0.910006,1,3,0.0
4,184,100,0.917534,1,3,0.0
5,185,100,0.92041,1,3,0.0
6,186,100,0.927716,1,3,0.0
7,187,100,0.932604,1,3,0.0
8,188,100,0.935862,1,3,0.0
9,189,100,0.828712,1,3,0.1398790751514846
10,190,100,0.946978,1,3,0.0
11,191,100,0.952056,1,3,0.0
12,192,100,0.956854,1,3,0.0
13,193,100,0.961826,1,3,0.0
14,194,100,0.965446,1,3,0.0
15,195,100,0.971214,1,3,0.0
16,196,100,0.9769,1,3,0.0
17,197,100,0.978354,1,3,0.0
18,198,100,0.845796,1,3,0.12518339793225064
19,199,100,0.990014,1,3,0.0
20,200,100,0.992434,1,3,0.0
21,201,100,0.953112,1,3,0.159134996993478
22,202,100,0.98758,1,3,0.0
23,203,100,0.994944,1,3,0.0
24,204,100,0.995618,1,3,0.0
25,205,100,0.994728,1,3,0.0
26,206,100,0.980244,1,3,0.0
27,207,100,0.854998,1,3,0.13346565058913967
28,208,100,0.996694,1,3,0.0
29,209,100,0.966398,1,3,0.15909969384195427
30,210,100,0.857882,1,3,0.1330902294216815
31,211,100,0.857726,1,3,0.12357008082965916
32,212,100,0.856958,1,3,0.12858530208571434
33,213,100,0.857924,1,3,0.13200771495996041
34,214,100,0.859592,1,3,0.1289098336986314
35,215,100,0.864396,1,3,0.14038188567230783
36,216,100,0.864896,1,3,0.12883200654604945
37,217,100,0.863672,1,3,0.12840217918607097
38,218,100,0.865798,1,3,0.12633190140171363
39,219,100,0.87148,1,3,0.13010201622000697
40,220,100,0.98325,1,3,0.17707080426589697
41,221,100,0.878768,1,3,0.13578261224055008
42,222,100,0.874668,1,3,0.15511416860992389
43,223,100,0.873786,1,3,0.12470875068924335
44,224,100,0.876304,1,3,0.12607570445059177
45,225,100,0.876638,1,3,0.14086974796720692
46,226,100,0.87556,1,3,0.1268012439400558
47,227,100,0.878654,1,3,0.11674669696438324
48,228,100,0.880664,1,3,0.13206803135535475
49,229,100,0.879176,1,3,0.13224069483848175
50,230,100,0.884724,1,3,0.12875564151267263
51,180,100,0.897842,1,3,0.0
52,181,100,0.902488,1,3,0.0
53,182,100,0.907748,1,3,0.0
54,183,100,0.91269,1,3,0.0
55,184,100,0.917364,1,3,0.0
56,185,100,0.922396,1,3,0.0
57,186,100,0.92717,1,3,0.0
58,187,100,0.932468,1,3,0.0
59,188,100,0.937772,1,3,0.0
60,189,100,0.942668,1,3,0.0
61,190,100,0.947944,1,3,0.0
62,191,100,0.951652,1,3,0.0
63,192,100,0.95747,1,3,0.0
64,193,100,0.961252,1,3,0.0
65,194,100,0.966688,1,3,0.0
66,195,100,0.96936,1,3,0.0
67,196,100,0.839228,1,3,0.13495662825561322
68,197,100,0.979564,1,3,0.0
69,198,100,0.983592,1,3,0.0
70,199,100,0.987432,1,3,0.0
71,200,100,0.850222,1,3,0.11550997667216406
72,201,100,0.995638,1,3,0.0
73,202,100,0.977374,1,3,0.0
74,203,100,0.993858,1,3,0.0
75,204,100,0.959202,1,3,0.15911511097691972
76,205,100,0.9613,1,3,0.15910995571534292
77,206,100,0.962152,1,3,0.15904727549011766
78,207,100,0.85937,1,3,0.09623614718530996
79,208,100,0.85458,1,3,0.13720114647733989
80,209,100,0.858068,1,3,0.13291463482714694
81,210,100,0.996596,1,3,0.0
82,211,100,0.859264,1,3,0.1338098517595771
83,212,100,0.855206,1,3,0.13496941211939756
84,213,100,0.858472,1,3,0.13866156378096908
85,214,100,0.937282,1,3,0.2257856934272695
86,215,100,0.861288,1,3,0.1312590964679854
87,216,100,0.862624,1,3,0.13383454978825224
88,217,100,0.866568,1,3,0.13810728612716155
89,218,100,0.86781,1,3,0.13754448856200835
90,219,100,0.870438,1,3,0.13160921690931465
91,220,100,0.86696,1,3,0.13352334527323673
92,221,100,0.872234,1,3,0.14023642569328262
93,222,100,0.870406,1,3,0.13720050696203864
94,223,100,0.869774,1,3,0.13843896502425826
95,224,100,0.878002,1,3,0.13262820593031294
96,225,100,0.876584,1,3,0.11706885360801669
97,226,100,0.881988,1,3,0.13252221639822195
98,227,100,0.877918,1,3,0.11895028756779644
99,228,100,0.880076,1,3,0.11798707941800333
100,229,100,0.881696,1,3,0.12327093236432078
101,230,100,0.883756,1,3,0.13019051772178283
