,N/L,Flow,Pat,r_a
0,0.0,0.0,1,0
1,0.1,0.05,1,0
2,0.2,0.099992,1,0
3,0.3,0.149984,1,0
4,0.4,0.19998,1,0
5,0.5,0.249954,1,0
6,0.6,0.299974,1,0
7,0.7,0.349972,1,0
8,0.8,0.399946,1,0
9,0.9,0.449928,1,0
10,1.0,0.499902,1,0
11,1.1,0.54987,1,0
12,1.2,0.599866,1,0
13,1.3,0.649768,1,0
14,1.4,0.699672,1,0
15,1.5,0.749564,1,0
16,1.6,0.799328,1,0
17,1.7,0.849178,1,0
18,1.8,0.897724,1,0
19,1.9,0.947578,1,0
20,2.0,0.99594,1,0
21,2.1,0.997236,1,0
22,2.2,0.997048,1,0
23,2.3,0.99878,1,0
24,2.4,0.998956,1,0
25,2.5,0.999422,1,0
26,2.6,0.99947,1,0
27,2.7,0.999658,1,0
28,2.8,0.999704,1,0
29,2.9,0.999764,1,0
30,3.0,0.999766,1,0
31,3.1,0.99983,1,0
32,3.2,0.999862,1,0
33,3.3,0.999954,1,0
34,3.4,1.000074,1,0
35,3.5,1.000134,1,0
36,0.0,0.0,1,0
37,0.1,0.050002,1,0
38,0.2,0.1,1,0
39,0.3,0.149992,1,0
40,0.4,0.199986,1,0
41,0.5,0.249984,1,0
42,0.6,0.29997,1,0
43,0.7,0.349938,1,0
44,0.8,0.399952,1,0
45,0.9,0.449916,1,0
46,1.0,0.499862,1,0
47,1.1,0.549814,1,0
48,1.2,0.599714,1,0
49,1.3,0.649712,1,0
50,1.4,0.699514,1,0
51,1.5,0.749102,1,0
52,1.6,0.799174,1,0
53,1.7,0.84878,1,0
54,1.8,0.898122,1,0
55,1.9,0.945908,1,0
56,2.0,0.995484,1,0
57,2.1,0.99692,1,0
58,2.2,0.998164,1,0
59,2.3,0.998934,1,0
60,2.4,0.998496,1,0
61,2.5,0.999186,1,0
62,2.6,0.999484,1,0
63,2.7,0.999442,1,0
64,2.8,0.999482,1,0
65,2.9,0.999528,1,0
66,3.0,0.999736,1,0
67,3.1,0.999972,1,0
68,3.2,0.999986,1,0
69,3.3,1.00001,1,0
70,3.4,0.99982,1,0
71,3.5,1.000072,1,0
72,0.0,0.0,1,0
73,0.1,0.05,1,0
74,0.2,0.100002,1,0
75,0.3,0.150002,1,0
76,0.4,0.200008,1,0
77,0.5,0.249994,1,0
78,0.6,0.299972,1,0
79,0.7,0.349974,1,0
80,0.8,0.39985,1,0
81,0.9,0.4499,1,0
82,1.0,0.499872,1,0
83,1.1,0.549798,1,0
84,1.2,0.599768,1,0
85,1.3,0.649606,1,0
86,1.4,0.699668,1,0
87,1.5,0.749494,1,0
88,1.6,0.79886,1,0
89,1.7,0.848802,1,0
90,1.8,0.898018,1,0
91,1.9,0.946314,1,0
92,2.0,0.996406,1,0
93,2.1,0.99772,1,0
94,2.2,0.998292,1,0
95,2.3,0.99802,1,0
96,2.4,0.999078,1,0
97,2.5,0.999276,1,0
98,2.6,0.999474,1,0
99,2.7,0.999586,1,0
100,2.8,0.99974,1,0
101,2.9,0.99974,1,0
102,3.0,0.999886,1,0
103,3.1,0.999912,1,0
104,3.2,0.999978,1,0
105,3.3,1.000064,1,0
106,3.4,1.000094,1,0
107,3.5,1.000106,1,0
108,0.0,0.0,1,0
109,0.1,0.049998,1,0
110,0.2,0.100002,1,0
111,0.3,0.149986,1,0
112,0.4,0.199984,1,0
113,0.5,0.249942,1,0
114,0.6,0.299928,1,0
115,0.7,0.349926,1,0
116,0.8,0.399906,1,0
117,0.9,0.449886,1,0
118,1.0,0.499846,1,0
119,1.1,0.54983,1,0
120,1.2,0.599776,1,0
121,1.3,0.649644,1,0
122,1.4,0.69961,1,0
123,1.5,0.749514,1,0
124,1.6,0.798748,1,0
125,1.7,0.848844,1,0
126,1.8,0.897922,1,0
127,1.9,0.947776,1,0
128,2.0,0.996912,1,0
129,2.1,0.997696,1,0
130,2.2,0.998072,1,0
131,2.3,0.99854,1,0
132,2.4,0.999218,1,0
133,2.5,0.999276,1,0
134,2.6,0.999028,1,0
135,2.7,0.999342,1,0
136,2.8,0.99967,1,0
137,2.9,0.99982,1,0
138,3.0,0.999946,1,0
139,3.1,0.999822,1,0
140,3.2,0.999746,1,0
141,3.3,1.000002,1,0
142,3.4,1.000064,1,0
143,3.5,1.000034,1,0
144,0.0,0.0,1,0
145,0.1,0.049998,1,0
146,0.2,0.100008,1,0
147,0.3,0.150004,1,0
148,0.4,0.2,1,0
149,0.5,0.24999,1,0
150,0.6,0.299966,1,0
151,0.7,0.349958,1,0
152,0.8,0.39992,1,0
153,0.9,0.449868,1,0
154,1.0,0.49981,1,0
155,1.1,0.549754,1,0
156,1.2,0.59971,1,0
157,1.3,0.649474,1,0
158,1.4,0.699186,1,0
159,1.5,0.749166,1,0
160,1.6,0.79843,1,0
161,1.7,0.847022,1,0
162,1.8,0.897976,1,0
163,1.9,0.946628,1,0
164,2.0,0.995744,1,0
165,2.1,0.996064,1,0
166,2.2,0.998608,1,0
167,2.3,0.998734,1,0
168,2.4,0.999012,1,0
169,2.5,0.999464,1,0
170,2.6,0.99933,1,0
171,2.7,0.999522,1,0
172,2.8,0.999568,1,0
173,2.9,0.999576,1,0
174,3.0,0.999694,1,0
175,3.1,0.999764,1,0
176,3.2,0.99996,1,0
177,3.3,0.999904,1,0
178,3.4,0.999998,1,0
179,3.5,1.000052,1,0
180,0.0,0.0,1,0
181,0.1,0.049996,1,0
182,0.2,0.100008,1,0
183,0.3,0.149998,1,0
184,0.4,0.199992,1,0
185,0.5,0.249986,1,0
186,0.6,0.299964,1,0
187,0.7,0.349958,1,0
188,0.8,0.399874,1,0
189,0.9,0.449898,1,0
190,1.0,0.499844,1,0
191,1.1,0.549838,1,0
192,1.2,0.599828,1,0
193,1.3,0.649686,1,0
194,1.4,0.699698,1,0
195,1.5,0.749286,1,0
196,1.6,0.799334,1,0
197,1.7,0.848686,1,0
198,1.8,0.898418,1,0
199,1.9,0.947412,1,0
200,2.0,0.994626,1,0
201,2.1,0.996182,1,0
202,2.2,0.993984,1,0
203,2.3,0.998748,1,0
204,2.4,0.99885,1,0
205,2.5,0.998874,1,0
206,2.6,0.999328,1,0
207,2.7,0.999272,1,0
208,2.8,0.999546,1,0
209,2.9,0.999696,1,0
210,3.0,0.9998,1,0
211,3.1,0.999798,1,0
212,3.2,0.999854,1,0
213,3.3,1.000002,1,0
214,3.4,1.000074,1,0
215,3.5,1.000086,1,0
216,0.0,0.0,1,0
217,0.1,0.05,1,0
218,0.2,0.100006,1,0
219,0.3,0.150004,1,0
220,0.4,0.19999,1,0
221,0.5,0.249972,1,0
222,0.6,0.29998,1,0
223,0.7,0.349914,1,0
224,0.8,0.399918,1,0
225,0.9,0.449836,1,0
226,1.0,0.499836,1,0
227,1.1,0.54974,1,0
228,1.2,0.59971,1,0
229,1.3,0.649534,1,0
230,1.4,0.699458,1,0
231,1.5,0.748462,1,0
232,1.6,0.798718,1,0
233,1.7,0.84892,1,0
234,1.8,0.898088,1,0
235,1.9,0.94662,1,0
236,2.0,0.99155,1,0
237,2.1,0.99691,1,0
238,2.2,0.99822,1,0
239,2.3,0.998548,1,0
240,2.4,0.998854,1,0
241,2.5,0.998942,1,0
242,2.6,0.999308,1,0
243,2.7,0.999496,1,0
244,2.8,0.999742,1,0
245,2.9,0.9998,1,0
246,3.0,0.999874,1,0
247,3.1,0.999768,1,0
248,3.2,0.999778,1,0
249,3.3,0.999928,1,0
250,3.4,1.000056,1,0
251,3.5,1.000108,1,0
252,0.0,0.0,1,0
253,0.1,0.049996,1,0
254,0.2,0.099988,1,0
255,0.3,0.149974,1,0
256,0.4,0.199974,1,0
257,0.5,0.249972,1,0
258,0.6,0.299978,1,0
259,0.7,0.349966,1,0
260,0.8,0.399936,1,0
261,0.9,0.449908,1,0
262,1.0,0.499878,1,0
263,1.1,0.54986,1,0
264,1.2,0.599766,1,0
265,1.3,0.649806,1,0
266,1.4,0.699614,1,0
267,1.5,0.74964,1,0
268,1.6,0.799378,1,0
269,1.7,0.84873,1,0
270,1.8,0.899118,1,0
271,1.9,0.94822,1,0
272,2.0,0.996748,1,0
273,2.1,0.99592,1,0
274,2.2,0.99794,1,0
275,2.3,0.99863,1,0
276,2.4,0.998896,1,0
277,2.5,0.999554,1,0
278,2.6,0.999616,1,0
279,2.7,0.999758,1,0
280,2.8,0.99971,1,0
281,2.9,0.999708,1,0
282,3.0,0.999814,1,0
283,3.1,0.999898,1,0
284,3.2,1.000018,1,0
285,3.3,0.99991,1,0
286,3.4,1.000026,1,0
287,3.5,1.000138,1,0
288,0.0,0.0,1,0
289,0.1,0.050006,1,0
290,0.2,0.100006,1,0
291,0.3,0.149998,1,0
292,0.4,0.199986,1,0
293,0.5,0.249988,1,0
294,0.6,0.299986,1,0
295,0.7,0.349966,1,0
296,0.8,0.39996,1,0
297,0.9,0.449912,1,0
298,1.0,0.499856,1,0
299,1.1,0.549886,1,0
300,1.2,0.599844,1,0
301,1.3,0.649724,1,0
302,1.4,0.699624,1,0
303,1.5,0.749556,1,0
304,1.6,0.798964,1,0
305,1.7,0.848954,1,0
306,1.8,0.899058,1,0
307,1.9,0.94621,1,0
308,2.0,0.995302,1,0
309,2.1,0.998452,1,0
310,2.2,0.998496,1,0
311,2.3,0.99855,1,0
312,2.4,0.998902,1,0
313,2.5,0.999338,1,0
314,2.6,0.999572,1,0
315,2.7,0.999214,1,0
316,2.8,0.999824,1,0
317,2.9,0.999754,1,0
318,3.0,0.999946,1,0
319,3.1,1.00002,1,0
320,3.2,0.99999,1,0
321,3.3,1.00006,1,0
322,3.4,1.000038,1,0
323,3.5,1.000078,1,0
324,0.0,0.0,1,0
325,0.1,0.049994,1,0
326,0.2,0.099994,1,0
327,0.3,0.149982,1,0
328,0.4,0.199978,1,0
329,0.5,0.24994,1,0
330,0.6,0.299928,1,0
331,0.7,0.34994,1,0
332,0.8,0.399924,1,0
333,0.9,0.44989,1,0
334,1.0,0.49987,1,0
335,1.1,0.549768,1,0
336,1.2,0.599746,1,0
337,1.3,0.649712,1,0
338,1.4,0.69953,1,0
339,1.5,0.749526,1,0
340,1.6,0.799234,1,0
341,1.7,0.849036,1,0
342,1.8,0.898298,1,0
343,1.9,0.94408,1,0
344,2.0,0.99655,1,0
345,2.1,0.998294,1,0
346,2.2,0.99853,1,0
347,2.3,0.999108,1,0
348,2.4,0.998966,1,0
349,2.5,0.999272,1,0
350,2.6,0.999652,1,0
351,2.7,0.99957,1,0
352,2.8,0.999648,1,0
353,2.9,0.999764,1,0
354,3.0,0.999836,1,0
355,3.1,0.999906,1,0
356,3.2,0.999912,1,0
357,3.3,0.999906,1,0
358,3.4,1.000058,1,0
359,3.5,1.000038,1,0
