,N,L,Max,Pat,R_A
0,0,100,0.0,0,3
1,0,100,0.0,1,3
2,0,100,0.0,2,3
3,0,100,0.0,3,3
4,0,100,0.0,4,3
5,0,100,0.0,5,3
6,0,100,0.0,6,3
7,0,100,0.0,7,3
8,0,100,0.0,8,3
9,0,100,0.0,9,3
10,30,100,0.150004,0,3
11,30,100,0.149956,1,3
12,30,100,0.149958,2,3
13,30,100,0.149974,3,3
14,30,100,0.14991,4,3
15,30,100,0.149932,5,3
16,30,100,0.149958,6,3
17,30,100,0.149952,7,3
18,30,100,0.150004,8,3
19,30,100,0.149962,9,3
20,60,100,0.2999,0,3
21,60,100,0.299872,1,3
22,60,100,0.299822,2,3
23,60,100,0.299784,3,3
24,60,100,0.299826,4,3
25,60,100,0.299838,5,3
26,60,100,0.29978,6,3
27,60,100,0.299816,7,3
28,60,100,0.299786,8,3
29,60,100,0.29983,9,3
30,90,100,0.449808,0,3
31,90,100,0.44971,1,3
32,90,100,0.449686,2,3
33,90,100,0.449436,3,3
34,90,100,0.449526,4,3
35,90,100,0.449536,5,3
36,90,100,0.449612,6,3
37,90,100,0.44955,7,3
38,90,100,0.44949,8,3
39,90,100,0.449508,9,3
40,120,100,0.59945,0,3
41,120,100,0.599514,1,3
42,120,100,0.59914,2,3
43,120,100,0.599042,3,3
44,120,100,0.59912,4,3
45,120,100,0.599196,5,3
46,120,100,0.599048,6,3
47,120,100,0.599022,7,3
48,120,100,0.599054,8,3
49,120,100,0.599174,9,3
50,150,100,0.747744,0,3
51,150,100,0.74881,1,3
52,150,100,0.748902,2,3
53,150,100,0.748312,3,3
54,150,100,0.748082,4,3
55,150,100,0.748574,5,3
56,150,100,0.748564,6,3
57,150,100,0.748036,7,3
58,150,100,0.748032,8,3
59,150,100,0.747804,9,3
60,180,100,0.82416,0,3
61,180,100,0.897678,1,3
62,180,100,0.896838,2,3
63,180,100,0.896312,3,3
64,180,100,0.892572,4,3
65,180,100,0.896552,5,3
66,180,100,0.89548,6,3
67,180,100,0.896652,7,3
68,180,100,0.895066,8,3
69,180,100,0.891368,9,3
70,210,100,0.992006,0,3
71,210,100,0.852324,1,3
72,210,100,0.995678,2,3
73,210,100,0.994828,3,3
74,210,100,0.99184,4,3
75,210,100,0.990448,5,3
76,210,100,0.994734,6,3
77,210,100,0.989406,7,3
78,210,100,0.990672,8,3
79,210,100,0.995048,9,3
80,240,100,0.998564,0,3
81,240,100,0.894782,1,3
82,240,100,0.997926,2,3
83,240,100,0.997158,3,3
84,240,100,0.996932,4,3
85,240,100,0.99731,5,3
86,240,100,0.997216,6,3
87,240,100,0.99766,7,3
88,240,100,0.996878,8,3
89,240,100,0.997186,9,3
90,270,100,0.999808,0,3
91,270,100,0.93123,1,3
92,270,100,0.99852,2,3
93,270,100,0.998518,3,3
94,270,100,0.998162,4,3
95,270,100,0.997852,5,3
96,270,100,0.99769,6,3
97,270,100,0.997816,7,3
98,270,100,0.99792,8,3
99,270,100,0.99747,9,3
100,300,100,0.999864,0,3
101,300,100,0.970308,1,3
102,300,100,0.998916,2,3
103,300,100,0.998848,3,3
104,300,100,0.99818,4,3
105,300,100,0.998504,5,3
106,300,100,0.998702,6,3
107,300,100,0.997958,7,3
108,300,100,0.9985,8,3
109,300,100,0.998338,9,3
110,0,100,0.0,0,3
111,0,100,0.0,1,3
112,0,100,0.0,2,3
113,0,100,0.0,3,3
114,0,100,0.0,4,3
115,0,100,0.0,5,3
116,0,100,0.0,6,3
117,0,100,0.0,7,3
118,0,100,0.0,8,3
119,0,100,0.0,9,3
120,30,100,0.15001,0,3
121,30,100,0.149992,1,3
122,30,100,0.149956,2,3
123,30,100,0.149952,3,3
124,30,100,0.149964,4,3
125,30,100,0.149968,5,3
126,30,100,0.14996,6,3
127,30,100,0.149956,7,3
128,30,100,0.149968,8,3
129,30,100,0.149944,9,3
130,60,100,0.29996,0,3
131,60,100,0.299804,1,3
132,60,100,0.299808,2,3
133,60,100,0.299788,3,3
134,60,100,0.299824,4,3
135,60,100,0.29982,5,3
136,60,100,0.299836,6,3
137,60,100,0.299868,7,3
138,60,100,0.299894,8,3
139,60,100,0.299946,9,3
140,90,100,0.4498,0,3
141,90,100,0.44972,1,3
142,90,100,0.44956,2,3
143,90,100,0.44966,3,3
144,90,100,0.449514,4,3
145,90,100,0.449646,5,3
146,90,100,0.4496,6,3
147,90,100,0.449608,7,3
148,90,100,0.44955,8,3
149,90,100,0.449558,9,3
150,120,100,0.59947,0,3
151,120,100,0.599402,1,3
152,120,100,0.599118,2,3
153,120,100,0.59908,3,3
154,120,100,0.599202,4,3
155,120,100,0.598984,5,3
156,120,100,0.599018,6,3
157,120,100,0.599218,7,3
158,120,100,0.599126,8,3
159,120,100,0.599286,9,3
160,150,100,0.74825,0,3
161,150,100,0.748864,1,3
162,150,100,0.748088,2,3
163,150,100,0.748512,3,3
164,150,100,0.748428,4,3
165,150,100,0.7487,5,3
166,150,100,0.748422,6,3
167,150,100,0.747632,7,3
168,150,100,0.74846,8,3
169,150,100,0.748312,9,3
170,180,100,0.891362,0,3
