,N,L,Flow,Pat,r_a
0,200,100,0.987148,1,4
1,200,100,0.987148,1,4
2,200,100,0.987148,1,4
3,200,100,0.987148,1,4
4,200,100,0.987148,1,4
5,200,100,0.987148,1,4
6,200,100,0.987148,1,4
7,200,100,0.987148,1,4
8,200,100,0.987148,1,4
9,200,100,0.987148,1,4
10,200,100,0.987148,1,4
11,200,100,0.987148,1,4
12,200,100,0.987148,1,4
13,200,100,0.987148,1,4
14,200,100,0.987148,1,4
15,200,100,0.987148,1,4
16,200,100,0.987148,1,4
17,200,100,0.987148,1,4
18,200,100,0.987148,1,4
19,200,100,0.987148,1,4
20,200,100,0.987148,1,4
21,200,100,0.987148,1,4
22,200,100,0.987148,1,4
23,200,100,0.987148,1,4
24,200,100,0.987148,1,4
25,200,100,0.987148,1,4
26,200,100,0.987148,1,4
27,200,100,0.987148,1,4
28,200,100,0.987148,1,4
29,200,100,0.987148,1,4
30,200,100,0.987148,1,4
31,200,100,0.987148,1,4
32,200,100,0.987148,1,4
33,200,100,0.987148,1,4
34,200,100,0.987148,1,4
35,200,100,0.987148,1,4
36,200,100,0.82451,1,4
37,200,100,0.82451,1,4
38,200,100,0.82451,1,4
39,200,100,0.82451,1,4
40,200,100,0.82451,1,4
41,200,100,0.82451,1,4
42,200,100,0.82451,1,4
43,200,100,0.82451,1,4
44,200,100,0.82451,1,4
45,200,100,0.82451,1,4
46,200,100,0.82451,1,4
47,200,100,0.82451,1,4
48,200,100,0.82451,1,4
49,200,100,0.82451,1,4
50,200,100,0.82451,1,4
51,200,100,0.82451,1,4
52,200,100,0.82451,1,4
53,200,100,0.82451,1,4
54,200,100,0.82451,1,4
55,200,100,0.82451,1,4
56,200,100,0.82451,1,4
57,200,100,0.82451,1,4
58,200,100,0.82451,1,4
59,200,100,0.82451,1,4
60,200,100,0.82451,1,4
61,200,100,0.82451,1,4
62,200,100,0.82451,1,4
63,200,100,0.82451,1,4
64,200,100,0.82451,1,4
65,200,100,0.82451,1,4
66,200,100,0.82451,1,4
67,200,100,0.82451,1,4
68,200,100,0.82451,1,4
69,200,100,0.82451,1,4
70,200,100,0.82451,1,4
71,200,100,0.82451,1,4
72,200,100,0.99105,1,4
73,200,100,0.99105,1,4
74,200,100,0.99105,1,4
75,200,100,0.99105,1,4
76,200,100,0.99105,1,4
77,200,100,0.99105,1,4
78,200,100,0.99105,1,4
79,200,100,0.99105,1,4
80,200,100,0.99105,1,4
81,200,100,0.99105,1,4
82,200,100,0.99105,1,4
83,200,100,0.99105,1,4
84,200,100,0.99105,1,4
85,200,100,0.99105,1,4
86,200,100,0.99105,1,4
87,200,100,0.99105,1,4
88,200,100,0.99105,1,4
89,200,100,0.99105,1,4
90,200,100,0.99105,1,4
91,200,100,0.99105,1,4
92,200,100,0.99105,1,4
93,200,100,0.99105,1,4
94,200,100,0.99105,1,4
95,200,100,0.99105,1,4
96,200,100,0.99105,1,4
97,200,100,0.99105,1,4
98,200,100,0.99105,1,4
99,200,100,0.99105,1,4
100,200,100,0.99105,1,4
101,200,100,0.99105,1,4
102,200,100,0.99105,1,4
103,200,100,0.99105,1,4
104,200,100,0.99105,1,4
105,200,100,0.99105,1,4
106,200,100,0.99105,1,4
107,200,100,0.99105,1,4
108,200,100,0.992412,1,4
109,200,100,0.992412,1,4
110,200,100,0.992412,1,4
111,200,100,0.992412,1,4
112,200,100,0.992412,1,4
113,200,100,0.992412,1,4
114,200,100,0.992412,1,4
115,200,100,0.992412,1,4
116,200,100,0.992412,1,4
117,200,100,0.992412,1,4
118,200,100,0.992412,1,4
119,200,100,0.992412,1,4
120,200,100,0.992412,1,4
121,200,100,0.992412,1,4
122,200,100,0.992412,1,4
123,200,100,0.992412,1,4
124,200,100,0.992412,1,4
125,200,100,0.992412,1,4
126,200,100,0.992412,1,4
127,200,100,0.992412,1,4
128,200,100,0.992412,1,4
129,200,100,0.992412,1,4
130,200,100,0.992412,1,4
131,200,100,0.992412,1,4
132,200,100,0.992412,1,4
133,200,100,0.992412,1,4
134,200,100,0.992412,1,4
135,200,100,0.992412,1,4
136,200,100,0.992412,1,4
137,200,100,0.992412,1,4
138,200,100,0.992412,1,4
139,200,100,0.992412,1,4
140,200,100,0.992412,1,4
141,200,100,0.992412,1,4
142,200,100,0.992412,1,4
143,200,100,0.992412,1,4
144,200,100,0.827552,1,4
145,200,100,0.827552,1,4
146,200,100,0.827552,1,4
147,200,100,0.827552,1,4
148,200,100,0.827552,1,4
149,200,100,0.827552,1,4
150,200,100,0.827552,1,4
151,200,100,0.827552,1,4
152,200,100,0.827552,1,4
153,200,100,0.827552,1,4
154,200,100,0.827552,1,4
155,200,100,0.827552,1,4
156,200,100,0.827552,1,4
157,200,100,0.827552,1,4
158,200,100,0.827552,1,4
159,200,100,0.827552,1,4
160,200,100,0.827552,1,4
161,200,100,0.827552,1,4
162,200,100,0.827552,1,4
163,200,100,0.827552,1,4
164,200,100,0.827552,1,4
165,200,100,0.827552,1,4
166,200,100,0.827552,1,4
167,200,100,0.827552,1,4
168,200,100,0.827552,1,4
169,200,100,0.827552,1,4
170,200,100,0.827552,1,4
171,200,100,0.827552,1,4
172,200,100,0.827552,1,4
173,200,100,0.827552,1,4
174,200,100,0.827552,1,4
175,200,100,0.827552,1,4
176,200,100,0.827552,1,4
177,200,100,0.827552,1,4
178,200,100,0.827552,1,4
179,200,100,0.827552,1,4
180,200,100,0.941666,1,4
181,200,100,0.941666,1,4
182,200,100,0.941666,1,4
183,200,100,0.941666,1,4
184,200,100,0.941666,1,4
185,200,100,0.941666,1,4
186,200,100,0.941666,1,4
187,200,100,0.941666,1,4
188,200,100,0.941666,1,4
189,200,100,0.941666,1,4
190,200,100,0.941666,1,4
191,200,100,0.941666,1,4
192,200,100,0.941666,1,4
193,200,100,0.941666,1,4
194,200,100,0.941666,1,4
195,200,100,0.941666,1,4
196,200,100,0.941666,1,4
197,200,100,0.941666,1,4
198,200,100,0.941666,1,4
199,200,100,0.941666,1,4
200,200,100,0.941666,1,4
201,200,100,0.941666,1,4
202,200,100,0.941666,1,4
203,200,100,0.941666,1,4
204,200,100,0.941666,1,4
205,200,100,0.941666,1,4
206,200,100,0.941666,1,4
207,200,100,0.941666,1,4
208,200,100,0.941666,1,4
209,200,100,0.941666,1,4
210,200,100,0.941666,1,4
211,200,100,0.941666,1,4
212,200,100,0.941666,1,4
213,200,100,0.941666,1,4
214,200,100,0.941666,1,4
215,200,100,0.941666,1,4
216,200,100,0.827136,1,4
217,200,100,0.827136,1,4
218,200,100,0.827136,1,4
219,200,100,0.827136,1,4
220,200,100,0.827136,1,4
221,200,100,0.827136,1,4
222,200,100,0.827136,1,4
223,200,100,0.827136,1,4
224,200,100,0.827136,1,4
225,200,100,0.827136,1,4
226,200,100,0.827136,1,4
227,200,100,0.827136,1,4
228,200,100,0.827136,1,4
229,200,100,0.827136,1,4
230,200,100,0.827136,1,4
231,200,100,0.827136,1,4
232,200,100,0.827136,1,4
233,200,100,0.827136,1,4
234,200,100,0.827136,1,4
235,200,100,0.827136,1,4
236,200,100,0.827136,1,4
237,200,100,0.827136,1,4
238,200,100,0.827136,1,4
239,200,100,0.827136,1,4
240,200,100,0.827136,1,4
241,200,100,0.827136,1,4
242,200,100,0.827136,1,4
243,200,100,0.827136,1,4
244,200,100,0.827136,1,4
245,200,100,0.827136,1,4
246,200,100,0.827136,1,4
247,200,100,0.827136,1,4
248,200,100,0.827136,1,4
249,200,100,0.827136,1,4
250,200,100,0.827136,1,4
251,200,100,0.827136,1,4
252,200,100,0.990316,1,4
253,200,100,0.990316,1,4
254,200,100,0.990316,1,4
255,200,100,0.990316,1,4
256,200,100,0.990316,1,4
257,200,100,0.990316,1,4
258,200,100,0.990316,1,4
259,200,100,0.990316,1,4
260,200,100,0.990316,1,4
261,200,100,0.990316,1,4
262,200,100,0.990316,1,4
263,200,100,0.990316,1,4
264,200,100,0.990316,1,4
265,200,100,0.990316,1,4
266,200,100,0.990316,1,4
267,200,100,0.990316,1,4
268,200,100,0.990316,1,4
269,200,100,0.990316,1,4
270,200,100,0.990316,1,4
271,200,100,0.990316,1,4
272,200,100,0.990316,1,4
