,N,L,Max,Pat,R_A
0,0,100,0.0,1,0
1,0,100,0.0,1,1
2,0,100,0.0,1,2
3,0,100,0.0,1,3
4,0,100,0.0,1,4
5,0,100,0.0,1,5
6,0,100,0.0,1,6
7,0,100,0.0,1,7
8,0,100,0.0,1,8
9,0,100,0.0,1,9
10,30,100,0.14998,1,0
11,30,100,0.149912,1,1
12,30,100,0.149902,1,2
13,30,100,0.149972,1,3
14,30,100,0.149846,1,4
15,30,100,0.14989,1,5
16,30,100,0.149882,1,6
17,30,100,0.149882,1,7
18,30,100,0.149824,1,8
19,30,100,0.149826,1,9
20,60,100,0.299816,1,0
21,60,100,0.299778,1,1
22,60,100,0.299792,1,2
23,60,100,0.29989,1,3
24,60,100,0.299672,1,4
25,60,100,0.29973,1,5
26,60,100,0.29968,1,6
27,60,100,0.299572,1,7
28,60,100,0.299596,1,8
29,60,100,0.268492,1,9
30,90,100,0.449522,1,0
31,90,100,0.44958,1,1
32,90,100,0.449578,1,2
33,90,100,0.449712,1,3
34,90,100,0.449574,1,4
35,90,100,0.449516,1,5
36,90,100,0.449402,1,6
37,90,100,0.449362,1,7
38,90,100,0.449366,1,8
39,90,100,0.378916,1,9
40,120,100,0.599214,1,0
41,120,100,0.599264,1,1
42,120,100,0.59939,1,2
43,120,100,0.599472,1,3
44,120,100,0.599248,1,4
45,120,100,0.599104,1,5
46,120,100,0.59909,1,6
47,120,100,0.599012,1,7
48,120,100,0.599008,1,8
49,120,100,0.47479,1,9
50,150,100,0.74758,1,0
51,150,100,0.74874,1,1
52,150,100,0.748648,1,2
53,150,100,0.749018,1,3
54,150,100,0.748924,1,4
55,150,100,0.74871,1,5
56,150,100,0.748454,1,6
57,150,100,0.748604,1,7
58,150,100,0.746906,1,8
59,150,100,0.577492,1,9
60,180,100,0.847306,1,0
61,180,100,0.897286,1,1
62,180,100,0.89783,1,2
63,180,100,0.897354,1,3
64,180,100,0.897544,1,4
65,180,100,0.77096,1,5
66,180,100,0.74659,1,6
67,180,100,0.752204,1,7
68,180,100,0.7238,1,8
69,180,100,0.671032,1,9
70,210,100,0.932392,1,0
71,210,100,0.981582,1,1
72,210,100,0.916598,1,2
73,210,100,0.857852,1,3
74,210,100,0.846904,1,4
75,210,100,0.8226,1,5
76,210,100,0.829432,1,6
77,210,100,0.8076,1,7
78,210,100,0.790008,1,8
79,210,100,0.766938,1,9
80,240,100,0.977502,1,0
81,240,100,0.946512,1,1
82,240,100,0.913646,1,2
83,240,100,0.896632,1,3
84,240,100,0.878262,1,4
85,240,100,0.86932,1,5
86,240,100,0.86477,1,6
87,240,100,0.862548,1,7
88,240,100,0.857964,1,8
89,240,100,0.856792,1,9
90,270,100,0.998448,1,0
91,270,100,0.961734,1,1
92,270,100,0.94407,1,2
93,270,100,0.933712,1,3
94,270,100,0.922008,1,4
95,270,100,0.914626,1,5
96,270,100,0.913424,1,6
97,270,100,0.913012,1,7
98,270,100,0.914506,1,8
99,270,100,0.917592,1,9
100,300,100,0.999432,1,0
101,300,100,0.973046,1,1
102,300,100,0.969584,1,2
103,300,100,0.970072,1,3
104,300,100,0.960152,1,4
105,300,100,0.958152,1,5
106,300,100,0.956236,1,6
107,300,100,0.95621,1,7
108,300,100,0.953958,1,8
109,300,100,0.95123,1,9
110,0,100,0.0,1,0
111,0,100,0.0,1,1
112,0,100,0.0,1,2
113,0,100,0.0,1,3
114,0,100,0.0,1,4
115,0,100,0.0,1,5
116,0,100,0.0,1,6
117,0,100,0.0,1,7
118,0,100,0.0,1,8
119,0,100,0.0,1,9
120,30,100,0.149956,1,0
121,30,100,0.14988,1,1
122,30,100,0.149888,1,2
123,30,100,0.149962,1,3
124,30,100,0.149858,1,4
125,30,100,0.14987,1,5
126,30,100,0.14986,1,6
127,30,100,0.149874,1,7
128,30,100,0.149832,1,8
129,30,100,0.149814,1,9
130,60,100,0.299874,1,0
131,60,100,0.299768,1,1
132,60,100,0.299762,1,2
133,60,100,0.29984,1,3
134,60,100,0.299686,1,4
135,60,100,0.299674,1,5
136,60,100,0.29968,1,6
137,60,100,0.299694,1,7
138,60,100,0.299568,1,8
139,60,100,0.268558,1,9
140,90,100,0.449632,1,0
141,90,100,0.449634,1,1
142,90,100,0.44967,1,2
143,90,100,0.449702,1,3
144,90,100,0.449492,1,4
145,90,100,0.449524,1,5
146,90,100,0.449328,1,6
147,90,100,0.449352,1,7
148,90,100,0.449242,1,8
149,90,100,0.37642,1,9
150,120,100,0.598942,1,0
151,120,100,0.599186,1,1
152,120,100,0.599448,1,2
153,120,100,0.599464,1,3
154,120,100,0.599196,1,4
155,120,100,0.599288,1,5
156,120,100,0.599112,1,6
157,120,100,0.599028,1,7
158,120,100,0.598778,1,8
159,120,100,0.479456,1,9
160,150,100,0.748,1,0
161,150,100,0.748924,1,1
162,150,100,0.74897,1,2
163,150,100,0.74896,1,3
164,150,100,0.748728,1,4
165,150,100,0.748918,1,5
