,N/L,Flow,Pat,low,high,x
0,5.0,0.998932,4,3,9,0.0
1,5.0,0.947228,4,3,9,0.07142857142857142
2,5.0,0.944744,4,3,9,0.14285714285714285
3,5.0,0.942556,4,3,9,0.21428571428571427
4,5.0,0.94174,4,3,9,0.2857142857142857
5,5.0,0.941326,4,3,9,0.3571428571428571
6,5.0,0.940974,4,3,9,0.42857142857142855
7,5.0,0.936314,4,3,9,0.5
8,5.0,0.934756,4,3,9,0.5714285714285714
9,5.0,0.930136,4,3,9,0.6428571428571428
10,5.0,0.925366,4,3,9,0.7142857142857142
11,5.0,0.916106,4,3,9,0.7857142857142857
12,5.0,0.916178,4,3,9,0.8571428571428571
13,5.0,0.90201,4,3,9,0.9285714285714285
14,5.0,0.896308,4,3,9,1.0
15,5.0,1.000024,4,3,9,0.0
16,5.0,0.945628,4,3,9,0.07142857142857142
17,5.0,0.944196,4,3,9,0.14285714285714285
18,5.0,0.944848,4,3,9,0.21428571428571427
19,5.0,0.941232,4,3,9,0.2857142857142857
20,5.0,0.939872,4,3,9,0.3571428571428571
21,5.0,0.941534,4,3,9,0.42857142857142855
22,5.0,0.939518,4,3,9,0.5
23,5.0,0.935152,4,3,9,0.5714285714285714
24,5.0,0.931026,4,3,9,0.6428571428571428
25,5.0,0.925262,4,3,9,0.7142857142857142
26,5.0,0.920386,4,3,9,0.7857142857142857
27,5.0,0.91066,4,3,9,0.8571428571428571
28,5.0,0.904136,4,3,9,0.9285714285714285
29,5.0,0.896694,4,3,9,1.0
30,5.0,0.950212,4,3,9,0.0
31,5.0,0.950442,4,3,9,0.07142857142857142
32,5.0,0.946306,4,3,9,0.14285714285714285
33,5.0,0.943086,4,3,9,0.21428571428571427
34,5.0,0.942812,4,3,9,0.2857142857142857
35,5.0,0.937324,4,3,9,0.3571428571428571
36,5.0,0.939318,4,3,9,0.42857142857142855
37,5.0,0.937994,4,3,9,0.5
38,5.0,0.936296,4,3,9,0.5714285714285714
39,5.0,0.932856,4,3,9,0.6428571428571428
40,5.0,0.925086,4,3,9,0.7142857142857142
41,5.0,0.918908,4,3,9,0.7857142857142857
42,5.0,0.912906,4,3,9,0.8571428571428571
43,5.0,0.901552,4,3,9,0.9285714285714285
44,5.0,0.897344,4,3,9,1.0
45,5.0,0.998278,4,3,9,0.0
46,5.0,0.948488,4,3,9,0.07142857142857142
