,N/L,Flow,Pat,low,high,x
0,2.0,0.984262,4,3,9,0.0
1,2.0,0.933918,4,3,9,0.07142857142857142
2,2.0,0.913734,4,3,9,0.14285714285714285
3,2.0,0.852472,4,3,9,0.21428571428571427
4,2.0,0.803856,4,3,9,0.2857142857142857
5,2.0,0.775916,4,3,9,0.3571428571428571
6,2.0,0.760236,4,3,9,0.42857142857142855
7,2.0,0.70537,4,3,9,0.5
8,2.0,0.699608,4,3,9,0.5714285714285714
9,2.0,0.71372,4,3,9,0.6428571428571428
10,2.0,0.683358,4,3,9,0.7142857142857142
11,2.0,0.680266,4,3,9,0.7857142857142857
12,2.0,0.715786,4,3,9,0.8571428571428571
13,2.0,0.541902,4,3,9,0.9285714285714285
14,2.0,0.990062,4,3,9,1.0
15,2.0,0.989808,4,3,9,0.0
16,2.0,0.945988,4,3,9,0.07142857142857142
17,2.0,0.908144,4,3,9,0.14285714285714285
18,2.0,0.846176,4,3,9,0.21428571428571427
19,2.0,0.828056,4,3,9,0.2857142857142857
20,2.0,0.794626,4,3,9,0.3571428571428571
21,2.0,0.730792,4,3,9,0.42857142857142855
22,2.0,0.73189,4,3,9,0.5
23,2.0,0.717682,4,3,9,0.5714285714285714
24,2.0,0.681426,4,3,9,0.6428571428571428
25,2.0,0.682098,4,3,9,0.7142857142857142
26,2.0,0.70315,4,3,9,0.7857142857142857
27,2.0,0.711284,4,3,9,0.8571428571428571
28,2.0,0.772898,4,3,9,0.9285714285714285
29,2.0,0.512998,4,3,9,1.0
30,2.0,0.989218,4,3,9,0.0
31,2.0,0.936012,4,3,9,0.07142857142857142
32,2.0,0.876418,4,3,9,0.14285714285714285
33,2.0,0.897778,4,3,9,0.21428571428571427
34,2.0,0.80487,4,3,9,0.2857142857142857
35,2.0,0.771722,4,3,9,0.3571428571428571
36,2.0,0.712334,4,3,9,0.42857142857142855
37,2.0,0.739572,4,3,9,0.5
38,2.0,0.687894,4,3,9,0.5714285714285714
39,2.0,0.68503,4,3,9,0.6428571428571428
40,2.0,0.693436,4,3,9,0.7142857142857142
41,2.0,0.697776,4,3,9,0.7857142857142857
42,2.0,0.705604,4,3,9,0.8571428571428571
43,2.0,0.566632,4,3,9,0.9285714285714285
44,2.0,0.994264,4,3,9,1.0
45,2.0,0.985878,4,3,9,0.0
46,2.0,0.938884,4,3,9,0.07142857142857142
47,2.0,0.87772,4,3,9,0.14285714285714285
48,2.0,0.87879,4,3,9,0.21428571428571427
49,2.0,0.833846,4,3,9,0.2857142857142857
50,2.0,0.76153,4,3,9,0.3571428571428571
51,2.0,0.75553,4,3,9,0.42857142857142855
52,2.0,0.724678,4,3,9,0.5
53,2.0,0.731976,4,3,9,0.5714285714285714
54,2.0,0.69663,4,3,9,0.6428571428571428
55,2.0,0.735144,4,3,9,0.7142857142857142
56,2.0,0.709368,4,3,9,0.7857142857142857
57,2.0,0.71757,4,3,9,0.8571428571428571
58,2.0,0.527868,4,3,9,0.9285714285714285
59,2.0,0.991676,4,3,9,1.0
60,2.0,0.988382,4,3,9,0.0
61,2.0,0.946268,4,3,9,0.07142857142857142
62,2.0,0.891318,4,3,9,0.14285714285714285
63,2.0,0.875952,4,3,9,0.21428571428571427
64,2.0,0.808992,4,3,9,0.2857142857142857
65,2.0,0.789964,4,3,9,0.3571428571428571
66,2.0,0.744978,4,3,9,0.42857142857142855
67,2.0,0.720868,4,3,9,0.5
68,2.0,0.711184,4,3,9,0.5714285714285714
69,2.0,0.711518,4,3,9,0.6428571428571428
70,2.0,0.68019,4,3,9,0.7142857142857142
71,2.0,0.68006,4,3,9,0.7857142857142857
72,2.0,0.750274,4,3,9,0.8571428571428571
73,2.0,0.833502,4,3,9,0.9285714285714285
74,2.0,0.990334,4,3,9,1.0
75,2.0,0.984354,4,3,9,0.0
76,2.0,0.952908,4,3,9,0.07142857142857142
77,2.0,0.89667,4,3,9,0.14285714285714285
78,2.0,0.867046,4,3,9,0.21428571428571427
79,2.0,0.805402,4,3,9,0.2857142857142857
80,2.0,0.767566,4,3,9,0.3571428571428571
81,2.0,0.723164,4,3,9,0.42857142857142855
82,2.0,0.723672,4,3,9,0.5
83,2.0,0.688938,4,3,9,0.5714285714285714
84,2.0,0.688604,4,3,9,0.6428571428571428
85,2.0,0.706892,4,3,9,0.7142857142857142
86,2.0,0.557564,4,3,9,0.7857142857142857
87,2.0,0.709238,4,3,9,0.8571428571428571
88,2.0,0.546428,4,3,9,0.9285714285714285
89,2.0,0.992524,4,3,9,1.0
90,2.0,0.978286,4,3,9,0.0
91,2.0,0.930174,4,3,9,0.07142857142857142
92,2.0,0.900004,4,3,9,0.14285714285714285
93,2.0,0.87747,4,3,9,0.21428571428571427
94,2.0,0.8154,4,3,9,0.2857142857142857
95,2.0,0.760906,4,3,9,0.3571428571428571
96,2.0,0.766552,4,3,9,0.42857142857142855
97,2.0,0.70361,4,3,9,0.5
98,2.0,0.711536,4,3,9,0.5714285714285714
99,2.0,0.678036,4,3,9,0.6428571428571428
100,2.0,0.712338,4,3,9,0.7142857142857142
101,2.0,0.677996,4,3,9,0.7857142857142857
102,2.0,0.565652,4,3,9,0.8571428571428571
103,2.0,0.6709,4,3,9,0.9285714285714285
104,2.0,0.98896,4,3,9,1.0
105,2.0,0.98578,4,3,9,0.0
106,2.0,0.935898,4,3,9,0.07142857142857142
107,2.0,0.873322,4,3,9,0.14285714285714285
108,2.0,0.83836,4,3,9,0.21428571428571427
109,2.0,0.8281,4,3,9,0.2857142857142857
110,2.0,0.788514,4,3,9,0.3571428571428571
111,2.0,0.72722,4,3,9,0.42857142857142855
112,2.0,0.714848,4,3,9,0.5
113,2.0,0.687346,4,3,9,0.5714285714285714
114,2.0,0.67205,4,3,9,0.6428571428571428
115,2.0,0.681962,4,3,9,0.7142857142857142
116,2.0,0.691822,4,3,9,0.7857142857142857
117,2.0,0.711662,4,3,9,0.8571428571428571
118,2.0,0.744442,4,3,9,0.9285714285714285
119,2.0,0.515012,4,3,9,1.0
120,2.0,0.985176,4,3,9,0.0
121,2.0,0.939702,4,3,9,0.07142857142857142
122,2.0,0.883748,4,3,9,0.14285714285714285
123,2.0,0.883854,4,3,9,0.21428571428571427
124,2.0,0.833762,4,3,9,0.2857142857142857
125,2.0,0.761836,4,3,9,0.3571428571428571
126,2.0,0.760952,4,3,9,0.42857142857142855
127,2.0,0.71318,4,3,9,0.5
128,2.0,0.71613,4,3,9,0.5714285714285714
129,2.0,0.700554,4,3,9,0.6428571428571428
130,2.0,0.684598,4,3,9,0.7142857142857142
131,2.0,0.587686,4,3,9,0.7857142857142857
132,2.0,0.548882,4,3,9,0.8571428571428571
133,2.0,0.56284,4,3,9,0.9285714285714285
134,2.0,0.992434,4,3,9,1.0
135,2.0,0.988096,4,3,9,0.0
136,2.0,0.914738,4,3,9,0.07142857142857142
137,2.0,0.890232,4,3,9,0.14285714285714285
138,2.0,0.864934,4,3,9,0.21428571428571427
139,2.0,0.825286,4,3,9,0.2857142857142857
140,2.0,0.79001,4,3,9,0.3571428571428571
141,2.0,0.749028,4,3,9,0.42857142857142855
142,2.0,0.698476,4,3,9,0.5
143,2.0,0.710124,4,3,9,0.5714285714285714
144,2.0,0.678078,4,3,9,0.6428571428571428
145,2.0,0.702282,4,3,9,0.7142857142857142
146,2.0,0.667614,4,3,9,0.7857142857142857
147,2.0,0.706732,4,3,9,0.8571428571428571
148,2.0,0.79018,4,3,9,0.9285714285714285
149,2.0,0.991758,4,3,9,1.0
